
Rk,Player,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
286,Tyler Clutts,CHI,27,16,8,10,8,48,6.0,0,10,0.5,3.0,1
287,Chris Cooley,WAS,29,5,5,13,8,65,8.1,0,17,1.6,13.0,0
288,Terrance Copper,KAN,29,16,2,12,8,114,14.3,0,43,0.5,7.1,0
289,Sam Hurd,CHI,26,12,0,15,8,109,13.6,0,28,0.7,9.1,1
290,Anthony Sherman,ARI,23,15,7,9,8,72,9.0,0,19,0.5,4.8,0
291,Patrick Turner,NYJ,24,15,1,15,8,96,12.0,1,25,0.5,6.4,0
292,Keiland Williams,DET,25,15,0,8,8,62,7.8,0,12,0.5,4.1,2
293,David Anderson,2TM,28,6,0,16,7,79,11.3,1,23,1.2,13.2,0
294,Anthony Armstrong,WAS,28,14,2,27,7,103,14.7,2,50,0.5,7.4,0
295,Bernard Berrian,MIN,31,5,1,23,7,91,13.0,0,30,1.4,18.2,0
296,Curtis Brinkley,SDG,26,10,1,9,7,41,5.9,0,20,0.7,4.1,0
297,Kevin Faulk,NWE,35,7,3,9,7,34,4.9,0,18,1.0,4.9,0
298,Jesse Holley,DAL,27,16,0,7,7,169,24.1,0,77,0.4,10.6,0
299,Michael Hoomanawanui,STL,23,8,8,13,7,83,11.9,0,27,0.9,10.4,0
300,Jeremiah Johnson,DEN,24,8,0,9,7,62,8.9,0,17,0.9,7.8,0
301,Ruvell Martin,BUF,29,14,0,16,7,82,11.7,0,28,0.5,5.9,0
302,Jake O'Connell,KAN,26,8,4,12,7,52,7.4,0,15,0.9,6.5,0
303,Dante Rosario,2TM,27,16,3,,7,117,16.7,0,32,0.4,7.3,0
304,Matt Spaeth,CHI,28,15,8,11,7,50,7.1,2,13,0.5,3.3,0
305,Deon Butler,SEA,25,5,0,7,6,51,8.5,0,15,1.2,10.2,0
306,Jordan Cameron,CLE,23,8,2,13,6,33,5.5,0,15,0.8,4.1,0
307,Tom Crabtree,GNB,26,16,9,8,6,38,6.3,1,15,0.4,2.4,0
308,Will Heller,DET,30,16,7,12,6,42,7.0,0,12,0.4,2.6,0
309,Bryant Johnson,HOU,30,16,0,12,6,90,15.0,1,40,0.4,5.6,0
310,Erik Lorig,TAM,25,16,7,9,6,53,8.8,0,22,0.4,3.3,0
311,Cameron Morrah,SEA,24,9,4,13,6,74,12.3,0,21,0.7,8.2,0
312,Ryan Torain,WAS,25,9,4,9,6,23,3.8,0,7,0.7,2.6,1
313,Danny Amendola,STL,26,1,1,6,5,45,9.0,0,18,5.0,45.0,1
314,Marion Barber,CHI,28,11,1,9,5,50,10.0,0,16,0.5,4.5,1
315,Travis Beckum,NYG,24,13,0,10,5,93,18.6,1,67,0.4,7.2,0
316,Delone Carter,IND,24,16,3,8,5,18,3.6,0,7,0.3,1.1,3
317,Mike Caussin,BUF,24,6,2,6,5,41,8.2,0,13,0.8,6.8,0
318,Jamaal Charles,KAN,25,2,1,6,5,9,1.8,1,9,2.5,4.5,1
319,Colin Cochart,CIN,24,10,3,9,5,44,8.8,1,25,0.5,4.4,0
320,Lex Hilliard,MIA,27,16,4,7,5,49,9.8,0,18,0.3,3.1,0
321,Thomas Jones,KAN,33,16,8,7,5,43,8.6,0,27,0.3,2.7,0
322,Owen Marecic,CLE,23,14,4,7,5,31,6.2,0,11,0.4,2.2,1
323,Marc Mariani,TEN,24,16,0,12,5,24,4.8,0,6,0.3,1.5,1
324,Sammy Morris,DAL,34,3,0,7,5,13,2.6,0,9,1.7,4.3,0
325,Matthew Mulligan,NYJ,26,16,9,9,5,58,11.6,0,41,0.3,3.6,0
326,Kassim Osgood,JAX,31,12,2,11,5,42,8.4,0,19,0.4,3.5,0
327,Zach Potter,JAX,25,15,7,7,5,50,10.0,0,22,0.3,3.3,0
328,David Thomas,NOR,28,5,2,9,5,16,3.2,0,8,1.0,3.2,0
329,Rock Cartwright,OAK,32,15,0,6,4,24,6.0,0,9,0.3,1.6,0
330,Colin Cloherty,JAX,24,4,1,8,4,57,14.3,0,21,1.0,14.3,0
331,Rashied Davis,DET,32,11,0,5,4,63,15.8,0,22,0.4,5.7,0
332,Julian Edelman,NWE,25,13,0,9,4,34,8.5,0,11,0.3,2.6,3
333,Lee Evans,BAL,30,9,2,26,4,74,18.5,0,32,0.4,8.2,0
334,Jerome Felton,2TM,25,14,3,7,4,40,10.0,0,17,0.3,2.9,0
335,Jamie Harper,TEN,22,14,0,6,4,32,8.0,0,21,0.3,2.3,1
336,Domenik Hixon,NYG,27,2,0,6,4,50,12.5,1,22,2.0,25.0,0
337,Greg Jones,JAX,30,16,9,9,4,19,4.8,0,10,0.3,1.2,0
338,Zach Miller,JAX,27,4,0,7,4,42,10.5,1,14,1.0,10.5,0
339,Ovie Mughelli,ATL,31,7,5,8,4,25,6.3,2,19,0.6,3.6,0
340,Zack Pianalto,TAM,22,13,0,5,4,40,10.0,0,15,0.3,3.1,0
341,Weslye Saunders,PIT,22,16,6,8,4,29,7.3,1,14,0.3,1.8,0
342,Jordan Shipley,CIN,26,2,0,5,4,14,3.5,0,5,2.0,7.0,1
343,Lee Smith,BUF,24,10,3,4,4,11,2.8,0,6,0.4,1.1,0
344,Sammie Stroughter,TAM,25,6,0,7,4,52,13.0,0,29,0.7,8.7,1
345,Chansi Stuckey,ARI,28,9,0,8,4,39,9.8,0,12,0.4,4.3,1
346,Jerheme Urban,KAN,31,6,1,13,4,35,8.8,1,24,0.7,5.8,0
347,Lawrence Vickers,HOU,28,14,1,8,4,29,7.3,0,17,0.3,2.1,0
348,Ryan Whalen,CIN,22,4,0,5,4,27,6.8,0,13,1.0,6.8,0
349,LaQuan Williams,BAL,23,12,0,12,4,46,11.5,0,15,0.3,3.8,2
350,Donnie Avery,TEN,27,8,0,11,3,45,15.0,1,23,0.4,5.6,0
351,Josh Baker,NYJ,25,11,0,4,3,27,9.0,1,17,0.3,2.5,0
352,Anthony Becht,KAN,34,10,5,4,3,26,8.7,0,16,0.3,2.6,0
353,Richie Brockel,CAR,25,11,2,3,3,13,4.3,0,5,0.3,1.2,0
354,Mark Clayton,STL,29,2,1,4,3,26,8.7,0,12,1.5,13.0,0
355,Kris Durham,SEA,23,3,0,4,3,30,10.0,0,12,1.0,10.0,0
356,Tony Fiammetta,DAL,25,10,6,5,3,39,13.0,0,15,0.3,3.9,0
357,John Gilmore,NOR,32,14,4,6,3,20,6.7,1,9,0.2,1.4,0
358,Virgil Green,DEN,23,15,3,5,3,24,8.0,0,9,0.2,1.6,0
359,Chad Hall,PHI,25,7,0,9,3,20,6.7,1,16,0.4,2.9,0
360,Quinn Johnson,TEN,25,4,1,3,3,30,10.0,0,13,0.8,7.5,0
361,Brit Miller,STL,25,12,1,3,3,41,13.7,0,20,0.3,3.4,0
362,Carlton Mitchell,CLE,23,12,0,4,3,31,10.3,0,19,0.3,2.6,0
363,Chris Pressley,CIN,25,15,10,5,3,19,6.3,0,9,0.2,1.3,0
364,Andrew Quarless,GNB,23,10,2,4,3,36,12.0,0,21,0.3,3.6,0
365,Stevan Ridley,NWE,22,16,2,5,3,13,4.3,0,8,0.2,0.8,1
