
Rk,Player,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Roddy White*+,ATL,29,16,16,179,115,1389,12.1,10,46,7.2,86.8,1
2,Reggie Wayne*+,IND,32,16,16,175,111,1355,12.2,6,50,6.9,84.7,1
3,Jason Witten*+,DAL,28,16,16,128,94,1002,10.7,9,33,5.9,62.6,1
4,Santana Moss,WAS,31,16,16,145,93,1115,12.0,6,56,5.8,69.7,3
5,Larry Fitzgerald*,ARI,27,16,15,173,90,1137,12.6,6,41,5.6,71.1,0
6,Andre Johnson*,HOU,29,13,13,138,86,1216,14.1,8,60,6.6,93.5,1
7,Brandon Marshall,MIA,26,14,14,146,86,1014,11.8,3,46,6.1,72.4,2
8,Wes Welker*,NWE,29,16,11,123,86,848,9.9,7,35,5.4,53.0,1
9,Danny Amendola,STL,25,16,6,123,85,689,8.1,3,36,5.3,43.1,2
10,Marques Colston,NOR,27,15,11,131,84,1023,12.2,7,43,5.6,68.2,0
11,Steve Johnson,BUF,24,16,13,141,82,1073,13.1,10,45,5.1,67.1,1
12,Davone Bess,MIA,25,16,8,125,79,820,10.4,5,29,4.9,51.3,3
13,Hakeem Nicks,NYG,22,13,12,128,79,1052,13.3,11,46,6.1,80.9,1
14,LeSean McCoy,PHI,22,15,13,91,78,592,7.6,2,40,5.2,39.5,2
15,Chris Cooley,WAS,28,16,16,126,77,849,11.0,3,35,4.8,53.1,3
16,Calvin Johnson*,DET,25,15,15,137,77,1120,14.5,12,87,5.1,74.7,1
17,Brandon Lloyd*,DEN,29,16,11,153,77,1448,18.8,11,71,4.8,90.5,0
18,Greg Jennings*,GNB,27,16,16,125,76,1265,16.6,12,86,4.8,79.1,2
19,Dwayne Bowe*,KAN,26,16,16,133,72,1162,16.1,15,75,4.5,72.6,1
20,Terrell Owens,CIN,37,14,11,139,72,983,13.7,9,78,5.1,70.2,0
21,Percy Harvin,MIN,22,14,13,109,71,868,12.2,5,53,5.1,62.0,1
22,Brandon Pettigrew,DET,25,16,16,111,71,722,10.2,4,35,4.4,45.1,0
23,Tony Gonzalez*,ATL,34,16,16,108,70,656,9.4,6,34,4.4,41.0,0
24,Jeremy Maclin,PHI,22,16,16,115,70,964,13.8,10,83,4.4,60.3,1
25,Miles Austin*,DAL,26,16,16,119,69,1041,15.1,7,69,4.3,65.1,1
26,Ben Watson,CLE,30,16,16,102,68,763,11.2,3,44,4.3,47.7,0
27,Pierre Garcon,IND,24,15,14,119,67,784,11.7,6,57,4.5,52.3,0
28,Chad Johnson,CIN,32,14,0,120,67,831,12.4,4,42,4.8,59.4,0
29,Jacob Tamme,IND,25,16,8,93,67,631,9.4,4,30,4.2,39.4,0
30,Arian Foster*+,HOU,24,16,13,84,66,604,9.2,2,50,4.1,37.8,3
31,Lance Moore,NOR,27,16,1,94,66,763,11.6,8,80,4.1,47.7,2
32,Mike Thomas,JAX,23,16,11,102,66,820,12.4,4,50,4.1,51.3,3
33,Kellen Winslow,TAM,27,16,11,98,66,730,11.1,5,41,4.1,45.6,1
34,Jabar Gaffney,DEN,30,16,11,112,65,875,13.5,2,50,4.1,54.7,1
35,Mike Williams,SEA,26,14,13,110,65,751,11.6,2,68,4.6,53.6,0
36,Mike Williams,TAM,23,16,16,129,65,964,14.8,11,58,4.1,60.3,3
37,Anquan Boldin,BAL,30,16,16,109,64,837,13.1,7,61,4.0,52.3,1
38,Ray Rice,BAL,23,16,14,83,63,556,8.8,1,34,3.9,34.8,0
39,Deion Branch,2TM,31,15,12,92,61,818,13.4,6,79,4.1,54.5,1
40,Peyton Hillis,CLE,24,16,14,77,61,477,7.8,2,47,3.8,29.8,8
41,Derrick Mason,BAL,36,16,15,100,61,802,13.1,7,42,3.8,50.1,0
