
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
1,Isa Abdul-Quddus,NOR,24,15,3,,2,12,0,12,7,0,0,1,0,0,28,10,
2,John Abraham,ATL,34,16,15,10.0,0,0,0,0,7,6,0,0,0,0,32,3,
3,Sam Acho,ARI,24,16,16,4.0,2,2,0,2,3,2,0,0,0,0,35,13,
4,Joe Adams,CAR,23,9,0,,,,,,,0,4,1,0,0,,,
5,Michael Adams,ARI,27,16,0,,0,0,0,0,5,0,0,2,0,0,11,3,
6,Mike Adams,DEN,31,16,16,1.0,0,0,0,0,12,2,0,2,0,0,60,20,1
7,Phillip Adams,OAK,24,15,2,,2,0,0,0,5,0,2,0,0,0,10,2,
8,Mario Addison,3TM,25,12,1,1.0,,,,,,1,0,0,0,0,4,0,
9,Al Afalava,TEN,25,12,2,,1,0,0,0,1,,,,,,8,7,
10,Danny Aiken,NWE,24,16,0,,,,,,,,,,,,1,0,
11,David Akers,SFO,38,16,0,,,,,,,,,,,,2,0,
12,Alex Albright,DAL,24,14,2,,,,,,,,,,,,15,3,
13,Frank Alexander,CAR,23,16,3,2.5,0,0,0,0,3,0,0,2,0,0,10,8,
14,Lorenzo Alexander*,WAS,29,16,0,2.5,,,,,,0,0,1,7,0,34,12,
15,Anthony Allen,BAL,24,16,0,,,,,,,,,,,,9,1,
16,Antonio Allen,NYJ,24,7,1,1.0,,,,,,0,0,1,0,0,2,2,
17,Armando Allen,CHI,23,15,0,,,,,,,,,,,,3,2,
18,Cortez Allen,PIT,24,15,3,,2,6,0,6,10,3,0,1,21,0,43,12,
19,Dwayne Allen,IND,22,16,16,,,,,,,0,1,2,0,0,,,
20,Jared Allen*,MIN,30,16,16,12.0,0,0,0,0,3,1,0,1,0,0,35,10,
21,Jason Allen,CIN,29,4,0,,,,,,,,,,,,3,0,
22,Nate Allen,PHI,25,15,13,,0,0,0,0,4,,,,,,60,13,
23,Russell Allen,JAX,26,16,16,0.5,0,0,0,0,6,0,0,1,0,0,107,24,
24,Will Allen,PIT,30,16,7,,0,0,0,0,3,1,0,0,0,0,20,14,
25,Tyson Alualu,JAX,25,16,16,3.5,0,0,0,0,1,0,0,1,0,0,34,11,
26,Prince Amukamara,NYG,23,13,11,,1,0,0,0,7,,,,,,45,8,
27,Colt Anderson,PHI,27,14,4,,1,4,0,4,3,1,0,0,0,0,30,3,
28,Jamaal Anderson,CIN,26,2,0,,,,,,,,,,,,1,2,
29,James Anderson,CAR,29,12,12,,0,0,0,0,2,,,,,,39,34,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
30,Joe Anderson,CHI,24,3,0,,,,,,,1,0,0,0,0,,,
31,Mark Anderson,BUF,29,6,4,1.0,0,0,0,0,1,,,,,,10,2,
32,Pat Angerer,IND,25,11,3,,0,0,0,0,1,1,0,0,0,0,21,7,
33,Antwan Applewhite,CAR,28,5,3,1.0,,,,,,,,,,,1,5,
34,Javier Arenas,KAN,25,16,9,,0,0,0,0,8,1,2,1,0,0,52,7,
35,Kyle Arrington,NWE,26,16,12,,0,0,0,0,11,1,0,1,0,0,62,12,
36,Matt Asiata,MIN,25,16,0,,,,,,,,,,,,3,1,
37,Nnamdi Asomugha,PHI,31,16,16,,1,0,0,0,12,,,,,,47,8,
38,Geno Atkins*+,CIN,24,16,16,12.5,0,0,0,0,2,4,0,0,0,0,39,15,
39,David Ausberry,OAK,25,16,0,,,,,,,0,0,1,0,0,3,3,
40,Marvin Austin,NYG,23,8,0,,,,,,,,,,,,5,3,
41,Miles Austin,DAL,28,16,15,,,,,,,0,1,0,0,0,4,0,
42,Jason Avant,PHI,29,14,6,,,,,,,0,1,0,0,0,3,0,
43,Cliff Avril,DET,26,16,16,9.5,0,0,0,0,1,2,0,0,0,0,28,7,
44,Brendon Ayanbadejo,BAL,36,16,3,1.0,0,0,0,0,1,0,0,1,0,0,27,16,
45,Akeem Ayers,TEN,23,16,13,6.0,1,2,0,2,8,1,0,0,0,0,66,38,
46,Robert Ayers,DEN,27,15,0,2.0,0,0,0,0,2,,,,,,8,8,
47,Jason Babin,2TM,32,16,16,7.0,0,0,0,0,1,4,0,1,0,0,28,9,
48,Jonathan Babineaux,ATL,31,16,16,3.5,1,-2,0,-2,5,1,0,1,15,1,25,6,
49,Jordan Babineaux,TEN,30,16,12,,1,10,0,10,6,,,,,,66,30,
50,Johnson Bademosi,CLE,22,16,0,,0,0,0,0,1,,,,,,3,0,
51,Allen Bailey,KAN,23,10,1,,,,,,,0,0,1,1,0,3,2,
52,Champ Bailey*,DEN,34,16,15,,2,18,0,18,9,,,,,,61,5,
53,Dan Bailey,DAL,24,16,0,,,,,,,,,,,,1,0,
54,Patrick Bailey,TEN,27,12,0,,,,,,,,,,,,6,2,
55,Jonathan Baldwin,KAN,23,15,7,,,,,,,,,,,,1,0,
56,Alan Ball,HOU,27,11,1,,0,0,0,0,3,1,0,0,0,0,18,3,
57,Lance Ball,DEN,27,15,0,,,,,,,0,1,2,0,0,1,0,
58,Christian Ballard,MIN,23,16,0,1.0,,,,,,0,1,2,0,0,10,6,
59,Vick Ballard,IND,22,16,12,,,,,,,0,3,2,0,0,,,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
60,Brandon Banks,WAS,25,12,0,,,,,,,0,4,3,5,0,,,
61,Justin Bannan,DEN,33,16,15,,0,0,0,0,4,1,0,1,0,0,28,14,
62,Ronde Barber,TAM,37,16,16,1.0,4,160,1,78,13,1,0,0,0,0,71,21,
63,Don Barclay,GNB,23,16,4,,,,,,,0,0,1,0,0,,,
64,Antwan Barnes,SDG,28,11,0,3.0,,,,,,1,0,2,1,0,7,2,
65,Nick Barnett,BUF,31,16,16,2.0,0,0,0,0,1,3,0,0,0,0,72,40,
66,Gary Barnidge,CAR,27,16,5,,,,,,,0,0,1,0,0,,,
67,Mark Barron,TAM,23,16,16,,1,12,0,12,10,1,0,0,0,0,72,17,
68,Ronald Bartell,2TM,30,7,7,,0,0,0,0,5,,,,,,20,7,
69,Connor Barwin,HOU,26,16,16,3.0,0,0,0,0,5,0,0,1,0,0,34,9,1
70,Ben Bass,DAL,23,2,0,,,,,,,,,,,,0,1,
71,Baron Batch,PIT,25,12,0,,,,,,,,,,,,4,0,
72,Charlie Batch,PIT,38,3,2,,,,,,,0,1,1,0,0,,,
73,Jackie Battle,SDG,29,16,5,,,,,,,,,,,,8,3,
74,Jon Beason,CAR,27,4,4,,1,2,0,2,2,,,,,,16,12,
75,Jovan Belcher,KAN,25,11,10,,0,0,0,0,1,,,,,,33,5,
76,Yeremiah Bell,NYJ,34,16,16,1.0,0,0,0,0,2,0,0,3,18,0,72,17,
77,Nick Bellore,NYJ,23,16,0,,,,,,,0,1,1,0,0,8,2,
78,Travis Benjamin,CLE,23,14,3,,,,,,,0,1,1,0,0,,,
79,Arrelious Benn,TAM,24,8,1,,,,,,,0,1,0,0,0,1,0,
80,Michael Bennett,TAM,27,16,16,9.0,0,0,0,0,2,3,0,0,0,0,34,7,
81,Cedric Benson,GNB,30,5,5,,,,,,,0,1,0,0,0,3,0,
82,Bill Bentley,DET,23,4,3,,,,,,,,,,,,13,2,
83,Rocky Bernard,NYG,33,12,5,1.0,,,,,,,,,,,16,14,
84,Aaron Berry,NYJ,24,7,0,,,,,,,,,,,,2,0,
85,Eric Berry*,KAN,24,16,16,,1,0,0,0,10,,,,,,73,13,
86,Antoine Bethea,IND,28,16,16,2.0,0,0,0,0,7,,,,,,75,25,
87,Justin Bethel,ARI,22,16,0,,,,,,,,,,,,1,0,
88,Kroy Biermann,ATL,27,16,3,4.0,,,,,,,,,,,31,15,
89,Atari Bigby,SDG,31,11,11,,0,0,0,0,3,0,0,1,0,0,49,19,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
90,E.J. Biggers,TAM,25,13,12,1.0,1,0,0,0,7,2,0,0,0,0,39,9,
91,Christo Bilukidi,OAK,23,13,0,,0,0,0,0,1,,,,,,5,3,
92,Armon Binns,2TM,23,11,5,,,,,,,0,1,0,0,0,1,0,
93,Bront Bird,SDG,23,5,0,,1,0,0,0,3,,,,,,10,3,
94,Matt Birk,BAL,36,16,16,,,,,,,0,0,1,0,0,,,
95,Ahmad Black,TAM,23,16,1,,2,34,0,34,5,1,0,0,0,0,30,6,
96,Quincy Black,TAM,28,9,5,,,,,,,0,0,2,0,0,28,7,
97,Chase Blackburn,NYG,29,15,15,3.0,1,0,0,0,6,4,0,0,0,0,64,34,
98,Justin Blackmon,JAX,22,16,14,,,,,,,0,1,1,0,0,,,
99,Antwon Blake,JAX,22,16,0,,,,,,,0,0,1,0,0,,,
100,Justin Blalock,ATL,29,16,16,,,,,,,0,0,1,0,0,,,
101,Robert Blanton,MIN,23,13,0,,,,,,,,,,,,4,1,
102,Omar Bolden,DEN,24,16,0,,0,0,0,0,1,0,1,0,0,0,4,0,
103,Anquan Boldin,BAL,32,15,15,,,,,,,0,0,1,0,0,1,0,
104,Michael Boley,NYG,30,16,11,0.5,3,74,0,51,4,0,0,2,70,1,65,27,
105,Kevin Boothe,NYG,29,16,16,,,,,,,0,0,1,0,0,,,
106,Matthew Bosher,ATL,25,16,0,,,,,,,,,,,,2,2,
107,Kyle Bosworth,JAX,26,16,5,,1,10,0,10,1,0,1,0,0,0,21,6,
108,Dwayne Bowe,KAN,28,13,12,,,,,,,0,1,0,0,0,2,0,
109,Stephen Bowen,WAS,28,16,16,1.0,0,0,0,0,3,,,,,,12,13,
110,Da'Quan Bowers,TAM,22,10,0,3.0,0,0,0,0,1,,,,,,10,3,
111,NaVorro Bowman*+,SFO,24,16,16,2.0,1,11,0,11,6,1,0,0,0,0,96,52,
