
112,Zackary Bowman,CHI,28,11,0,,0,0,0,0,2,0,1,2,1,1,10,1,
113,Brandon Boykin,PHI,22,16,4,1.0,0,0,0,0,5,1,1,0,0,0,24,2,
114,Ron Brace,NWE,26,10,0,,,,,,,,,,,,2,2,
115,Sam Bradford,STL,25,16,16,,,,,,,0,7,3,-1,0,,,
116,Nigel Bradham,BUF,23,16,11,,0,0,0,0,1,0,0,1,0,0,28,21,
117,Stewart Bradley,ARI,29,16,0,,,,,,,,,,,,9,2,
118,Ahmad Bradshaw,NYG,26,14,12,,,,,,,0,3,0,0,0,2,0,
119,Tom Brady*,NWE,35,16,16,,,,,,,0,2,1,-3,0,2,0,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
120,Bryan Braman,HOU,25,14,0,,,,,,,,,,,,3,2,
121,Alan Branch,SEA,28,16,16,1.0,0,0,0,0,2,0,0,1,0,0,16,13,
122,Andre Branch,JAX,23,13,3,1.0,0,0,0,0,1,1,0,1,0,0,9,2,
123,Deion Branch,NWE,33,10,4,,,,,,,,,,,,1,0,
124,Tyvon Branch,OAK,26,14,14,,1,11,0,11,3,,,,,,74,20,
125,Steve Breaston,KAN,29,10,4,,,,,,,0,1,1,0,0,,,
126,Drew Brees*,NOR,33,16,16,,,,,,,0,5,2,0,0,1,0,
127,Josh Brent,DAL,24,12,5,1.5,0,0,0,0,1,1,0,0,0,0,13,9,
128,Lance Briggs,CHI,32,16,16,1.5,2,110,2,74,11,2,0,0,0,0,74,29,
129,Curtis Brinkley,SDG,27,10,1,,,,,,,0,1,1,0,0,,,
130,Jasper Brinkley,MIN,27,16,15,,0,0,0,0,2,3,0,0,0,0,62,35,
131,Kenny Britt,TEN,24,14,11,,,,,,,0,2,2,-2,0,,,
132,Eben Britton,JAX,25,11,5,,,,,,,0,0,1,0,0,,,
133,Tramaine Brock,SFO,24,16,0,,0,0,0,0,1,,,,,,14,2,
134,Richie Brockel,CAR,26,16,0,,,,,,,,,,,,1,2,
135,Michael Brockers,STL,22,13,12,4.0,0,0,0,0,1,1,0,0,0,0,20,11,
136,Keith Brooking,DEN,37,16,14,1.0,,,,,,1,0,0,0,0,33,21,
137,Ahmad Brooks,SFO,28,16,16,6.5,1,50,1,50,6,2,0,0,0,0,34,12,
138,Ron Brooks,BUF,24,9,2,,0,0,0,0,4,,,,,,12,1,
139,Andre Brown,NYG,26,10,2,,,,,,,0,0,1,1,0,2,0,
140,Antonio Brown,PIT,24,13,10,,,,,,,0,4,2,0,0,3,0,
141,Bryce Brown,PHI,21,16,4,,,,,,,0,4,1,0,0,,,
142,Chykie Brown,BAL,26,16,1,,0,0,0,0,6,,,,,,21,4,
143,Curtis Brown,PIT,24,15,0,,0,0,0,0,2,,,,,,24,4,
144,Jalil Brown,KAN,25,15,2,,0,0,0,0,2,1,0,0,0,0,25,0,
145,Omar Brown,BAL,24,3,0,1.0,,,,,,0,0,1,12,0,2,1,
146,Ronnie Brown,SDG,31,14,1,,,,,,,0,0,1,0,0,,,
147,Sergio Brown,IND,24,16,0,,0,0,0,0,1,,,,,,7,4,
148,Sheldon Brown,CLE,33,15,14,1.0,3,20,1,19,12,1,0,2,0,0,53,7,
149,Stevie Brown,NYG,25,16,11,,8,307,0,70,11,2,0,2,9,0,56,10,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
150,Tarell Brown,SFO,27,16,16,,2,17,0,12,13,,,,,,52,5,
151,Zach Brown,TEN,23,16,14,5.5,3,156,2,79,5,1,1,2,6,0,68,24,
152,Brandon Browner,SEA,28,12,12,,3,39,0,35,6,3,0,1,0,0,35,9,
153,David Bruton,DEN,25,16,0,,1,-2,0,-2,1,,,,,,2,0,
154,Desmond Bryant,OAK,27,16,8,3.0,0,0,0,0,1,1,0,0,0,0,26,10,
155,Dez Bryant,DAL,24,16,14,,,,,,,0,5,2,0,0,,,
156,Red Bryant,SEA,28,16,16,,0,0,0,0,3,,,,,,14,10,
157,Brodrick Bunkley,NOR,29,15,15,2.5,0,0,0,0,2,,,,,,10,13,
158,Vontaze Burfict,CIN,22,16,14,1.0,0,0,0,0,2,0,0,2,0,0,73,54,
159,Kaelin Burnett,OAK,23,6,0,,,,,,,,,,,,1,0,
160,Kevin Burnett,MIA,30,16,16,2.5,0,0,0,0,5,,,,,,80,30,
161,Morgan Burnett,GNB,23,16,16,2.0,2,1,0,1,5,2,0,1,0,0,87,35,
162,Miles Burris,OAK,24,16,15,1.5,1,7,0,7,4,,,,,,62,34,
163,Jarrett Bush,GNB,28,16,1,,,,,,,0,0,1,0,0,16,4,
164,Josh Bush,NYJ,23,16,0,,,,,,,,,,,,1,2,
165,Rafael Bush,NOR,25,16,0,,1,40,0,40,1,1,0,2,1,0,14,4,
166,Reggie Bush,MIA,27,16,16,,,,,,,0,4,0,0,0,1,0,
167,Crezdon Butler,3TM,25,9,0,,,,,,,1,0,0,0,0,1,0,
168,Darius Butler,IND,26,11,4,,4,101,2,51,8,1,0,1,0,0,20,8,
169,Donald Butler,SDG,24,12,12,3.0,1,21,1,21,4,1,0,0,0,0,50,27,
170,Victor Butler,DAL,25,16,1,3.0,0,0,0,0,3,2,0,1,0,0,20,3,
171,Josh Bynes,BAL,23,10,3,,0,0,0,0,2,,,,,,18,13,
172,Jairus Byrd*,BUF,26,16,16,,5,81,0,45,6,4,0,2,0,0,53,23,
173,Calais Campbell,ARI,26,13,12,6.5,0,0,0,0,6,,,,,,50,13,
174,D.J. Campbell,CAR,23,5,4,,0,0,0,0,1,,,,,,10,2,
175,Jason Campbell,CHI,31,6,1,,,,,,,0,2,1,0,0,,,
176,Tommie Campbell,TEN,25,14,0,,0,0,0,0,1,0,0,1,0,0,12,1,
177,Chris Canty,NYG,30,9,9,3.0,,,,,,,,,,,20,6,
178,Tank Carder,CLE,23,15,1,,0,0,0,0,1,,,,,,0,1,
179,Don Carey,DET,25,9,6,,2,51,0,28,5,,,,,,29,10,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
180,Gabe Carimi,CHI,24,16,14,,,,,,,0,0,1,0,0,,,
181,Roc Carmichael,HOU,24,6,0,,0,0,0,0,1,,,,,,8,1,
182,Bobby Carpenter,NWE,29,4,0,,,,,,,,,,,,0,2,
183,Dan Carpenter,MIA,27,16,0,,,,,,,,,,,,1,1,
184,James Carpenter,SEA,23,7,7,,,,,,,,,,,,1,0,
185,Brandon Carr,DAL,26,16,16,,3,120,1,47,11,,,,,,48,5,
186,Chris Carr,SDG,29,9,0,,,,,,,,,,,,3,1,
187,David Carr,NYG,33,2,0,,,,,,,0,1,1,0,0,,,
188,Adam Carriker,WAS,28,2,2,,,,,,,,,,,,1,0,
189,Alex Carrington,BUF,25,16,0,2.0,0,0,0,0,3,1,0,0,0,0,12,7,
190,Nolan Carroll,MIA,25,14,10,1.0,0,0,0,0,5,1,0,0,0,0,41,6,
191,Andre Carter,OAK,33,12,0,2.5,,,,,,1,0,0,0,0,13,6,
192,Bruce Carter,DAL,24,11,11,,0,0,0,0,2,,,,,,51,19,
193,Chris Carter,PIT,23,8,3,,0,0,0,0,1,,,,,,3,5,
194,David Carter,ARI,25,16,4,,,,,,,,,,,,7,5,
195,Delone Carter,IND,25,10,0,,,,,,,0,1,0,0,0,0,1,
196,Quinton Carter,DEN,24,3,0,,,,,,,,,,,,2,0,
197,Tony Carter,DEN,26,15,0,,2,55,1,40,12,0,0,2,65,1,23,4,
198,Jurrell Casey,TEN,23,16,16,3.0,,,,,,2,0,0,0,0,34,20,
199,Jonathan Casillas,NOR,25,14,1,,0,0,0,0,1,0,0,2,0,0,17,8,
200,Antoine Cason,SDG,26,16,16,,2,34,0,31,11,2,0,0,0,0,62,11,
201,Matt Cassel,KAN,30,9,8,,,,,,,0,8,1,-8,0,1,0,
202,Anthony Castonzo,IND,24,16,16,,,,,,,0,0,1,0,0,,,
203,Kam Chancellor,SEA,24,16,16,,0,0,0,0,4,1,0,2,0,0,69,22,
204,Nate Chandler,CAR,23,10,0,,0,0,0,0,1,0,0,1,0,0,4,2,
205,Scott Chandler,BUF,27,15,13,,,,,,,0,2,1,0,0,4,0,
206,Jamar Chaney,PHI,26,14,5,,0,0,0,0,1,,,,,,15,5,
207,Chimdi Chekwa,OAK,24,3,0,,,,,,,1,0,0,0,0,4,0,
208,John Chick,JAX,30,8,0,,0,0,0,0,1,0,0,1,0,0,2,0,
209,Patrick Chung,NWE,25,12,8,,2,27,0,27,5,,,,,,29,15,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
210,Barry Church,DAL,24,3,3,,,,,,,0,0,1,6,0,3,2,
211,Morris Claiborne,DAL,22,15,15,,1,0,0,0,8,1,0,2,50,1,43,12,
212,Dallas Clark,TAM,33,16,7,,,,,,,,,,,,3,0,
213,Ryan Clark,PIT,33,15,15,,2,26,0,26,7,2,0,1,2,0,74,28,
214,Charles Clay,MIA,23,14,9,,,,,,,,,,,,1,0,
215,Adrian Clayborn,TAM,24,3,3,,,,,,,,,,,,1,1,
216,Kellen Clemens,STL,29,2,0,,,,,,,0,1,1,0,0,,,
217,Nate Clements,CIN,33,15,9,,1,21,0,21,5,1,0,0,0,0,31,22,
218,Chris Clemons,SEA,31,16,16,11.5,0,0,0,0,4,3,0,1,0,0,31,9,
219,Chris Clemons,MIA,27,16,16,,2,29,0,29,4,0,0,1,-3,0,72,26,
220,Tyler Clutts,HOU,28,16,0,,,,,,,,,,,,0,1,
221,Randall Cobb,GNB,22,15,8,,,,,,,0,4,3,0,0,1,0,
222,Shaun Cody,HOU,29,13,12,,0,0,0,0,2,,,,,,10,7,
223,Terrence Cody,BAL,24,15,3,,0,0,0,0,1,,,,,,12,13,
224,Michael Coe,3TM,29,11,1,,0,0,0,0,2,0,0,1,0,0,12,2,
225,Barry Cofield,WAS,28,16,16,2.5,0,0,0,0,6,1,0,0,0,0,15,21,
226,Justin Cole,STL,25,16,0,,,,,,,,,,,,2,0,
227,Marquice Cole,NWE,29,14,1,,1,0,0,0,3,,,,,,15,2,
228,Trent Cole,PHI,30,16,16,3.0,0,0,0,0,2,1,0,1,0,0,24,16,
229,Erik Coleman,DET,30,12,7,,1,0,0,0,3,,,,,,32,15,
230,Kenyon Coleman,DAL,33,7,5,,,,,,,1,0,0,0,0,12,3,
231,Kurt Coleman,PHI,24,14,14,,2,13,0,7,4,1,0,0,0,0,67,22,
232,Nate Collins,CHI,25,9,0,,0,0,0,0,1,,,,,,6,5,
233,Willie Colon,PIT,29,12,11,,,,,,,0,0,1,0,0,,,
234,Marques Colston,NOR,29,16,13,,,,,,,0,4,0,0,0,1,0,
235,Jon Condo,OAK,31,16,0,,,,,,,0,0,1,3,0,,,
236,Kavell Conner,IND,25,14,12,1.0,0,0,0,0,4,,,,,,35,17,
237,Dan Connor,DAL,27,14,8,,0,0,0,0,1,,,,,,29,26,
238,Sean Considine,BAL,31,16,0,,,,,,,,,,,,7,2,
239,Chris Conte,CHI,23,15,15,,2,70,0,35,9,0,0,1,0,0,52,16,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
240,Chris Cook,MIN,25,10,10,1.0,0,0,0,0,5,,,,,,27,8,
241,Ryan Cook,DAL,29,13,11,,,,,,,0,1,1,0,0,,,
242,Quinton Coples,NYJ,22,16,2,5.5,0,0,0,0,2,,,,,,22,8,
243,Terrance Copper,KAN,30,15,0,,,,,,,1,0,0,0,0,4,1,
244,Jim Cordle,NYG,25,16,0,,,,,,,0,0,1,0,0,,,
245,Blake Costanzo,CHI,28,14,1,,,,,,,,,,,,6,3,
246,Kirk Cousins,WAS,24,3,1,,,,,,,0,1,1,0,0,,,
247,Derek Cox,JAX,26,12,12,,4,18,0,16,11,1,0,0,0,0,55,5,
248,Fletcher Cox,PHI,22,15,9,5.5,0,0,0,0,4,1,0,0,0,0,32,7,
249,Perrish Cox,SFO,25,16,0,,0,0,0,0,2,,,,,,11,2,
250,Tom Crabtree,GNB,27,14,6,,,,,,,,,,,,0,1,
251,Jack Crawford,OAK,24,4,0,,,,,,,,,,,,2,1,
252,Richard Crawford,WAS,22,10,0,,1,12,0,12,2,0,0,1,10,0,12,5,
253,Tyrone Crawford,DAL,23,16,0,,,,,,,,,,,,16,4,
254,Josh Cribbs*,CLE,29,16,2,,,,,,,0,6,2,-18,0,8,1,
255,Jared Crick,HOU,23,15,0,,0,0,0,0,2,,,,,,13,9,
256,Juron Criner,OAK,23,12,0,,,,,,,0,1,1,0,0,,,
257,Chris Crocker,CIN,32,13,9,,3,52,0,29,5,0,0,1,12,0,29,12,
258,Antonio Cromartie*,NYJ,28,16,16,,3,53,1,40,13,,,,,,30,5,
259,Mason Crosby,GNB,28,16,0,,,,,,,,,,,,0,1,
260,Victor Cruz*,NYG,26,16,16,,,,,,,,,,,,2,0,
261,Jermelle Cudjo,STL,26,15,4,1.0,,,,,,,,,,,20,1,
262,Chris Culliver,SFO,24,16,6,,2,4,0,4,15,1,0,1,0,0,40,7,
263,Jeff Cumberland,NYJ,25,15,12,,,,,,,,,,,,1,0,
264,Jermaine Cunningham,NWE,24,12,3,2.5,,,,,,0,0,2,0,0,16,8,
265,Vinny Curry,PHI,24,6,0,,,,,,,,,,,,8,1,
266,Brian Cushing,HOU,25,5,5,,1,1,0,1,2,1,0,0,0,0,22,7,
267,Jay Cutler,CHI,29,15,15,,,,,,,0,8,1,0,0,2,0,
268,Jacob Cutrera,TAM,24,8,0,,,,,,,1,0,0,0,0,2,1,
269,Craig Dahl,STL,27,16,16,,1,38,0,38,2,,,,,,62,16,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
270,Harvey Dahl,STL,31,14,14,,,,,,,0,0,1,0,0,,,
271,Mike Daniels,GNB,23,14,0,2.0,0,0,0,0,1,0,0,2,43,1,12,0,
272,Owen Daniels*,HOU,30,15,14,,,,,,,,,,,,4,0,
273,Travis Daniels,KAN,30,15,0,,0,0,0,0,1,,,,,,13,3,
274,Karlos Dansby,MIA,31,16,16,1.0,0,0,0,0,9,1,0,0,0,0,101,33,
275,Marcell Dareus,BUF,23,16,16,5.5,0,0,0,0,6,0,0,1,0,0,26,13,
276,Lavonte David,TAM,22,16,16,2.0,1,27,0,27,5,,,,,,112,27,
277,Anthony Davis,SFO,23,16,16,,,,,,,0,0,1,0,0,,,
278,Demario Davis,NYJ,23,16,3,,,,,,,0,0,1,-4,0,22,4,
279,Kellen Davis,CHI,27,16,15,,,,,,,0,1,0,0,0,2,0,
280,Thomas Davis,CAR,29,15,12,,1,0,0,0,3,2,0,1,-2,0,70,35,
281,Vernon Davis,SFO,28,16,16,,,,,,,,,,,,1,0,
282,Vontae Davis,IND,24,10,10,1.0,3,26,0,26,8,,,,,,46,5,
283,Keyunta Dawson,TEN,27,3,0,,,,,,,,,,,,2,1,
284,Phil Dawson*,CLE,37,16,0,,,,,,,,,,,,0,1,
285,Brandon Deaderick,NWE,25,14,5,1.0,0,0,0,0,1,2,0,0,0,0,10,8,
286,David DeCastro,PIT,22,4,3,,,,,,,0,0,1,0,0,,,
287,Thomas DeCoud*,ATL,27,16,16,1.0,6,42,0,24,9,0,0,1,0,0,62,14,
