
,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
1,Adrian Peterson*+,MIN,27,16,16,0,0,0,0,0,348,2097,6.03,12,51,40,217,5.43,1,RB,307,191,1,1
2,Doug Martin*,TAM,23,16,16,0,0,0,0,0,319,1454,4.56,11,70,49,472,9.63,1,RB,263,146,2,2
3,Arian Foster*,HOU,26,16,16,0,0,0,0,0,351,1424,4.06,15,58,40,217,5.43,2,RB,262,145,3,3
4,Alfred Morris,WAS,24,16,16,0,0,0,0,0,335,1613,4.81,13,16,11,77,7.00,0,TE,241,139,1,4
5,Marshawn Lynch*+,SEA,26,16,15,0,0,0,0,0,315,1590,5.05,11,30,23,196,8.52,1,RB,247,130,4,5
6,Ray Rice*,BAL,25,16,16,0,0,0,0,0,257,1143,4.45,9,83,61,478,7.84,1,RB,222,105,5,6
7,Calvin Johnson*+,DET,27,16,16,0,0,0,0,0,0,0,,0,204,122,1964,16.10,5,WR,220,102,1,7
8,Brandon Marshall*+,CHI,28,16,16,0,0,0,0,0,1,-2,-2.00,0,192,118,1508,12.78,11,WR,217,98,2,8
9,C.J. Spiller*,BUF,25,16,9,0,0,0,0,0,207,1244,6.01,6,57,43,459,10.67,2,RB,212,96,6,9
10,Drew Brees*,NOR,33,16,16,422,670,5177,43,19,15,5,0.33,1,0,0,0,,0,QB,346,95,1,10
11,Aaron Rodgers*,GNB,29,16,16,371,552,4295,39,8,54,259,4.80,2,1,1,-1,-1.00,0,QB,344,93,2,11
12,Tom Brady*,NWE,35,16,16,401,637,4827,34,8,23,32,1.39,4,0,0,0,,0,QB,340,90,3,12
13,Dez Bryant,DAL,24,16,14,0,0,0,0,0,2,-5,-2.50,0,138,92,1382,15.02,12,WR,208,89,3,13
14,Jamaal Charles*,KAN,26,16,15,0,0,0,0,0,285,1509,5.29,5,49,35,236,6.74,1,RB,205,88,7,14
15,Trent Richardson,CLE,21,15,15,0,0,0,0,0,267,950,3.56,11,70,51,367,7.20,1,RB,204,87,8,15
