
,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
1,Arian Foster*+,HOU,24,16,13,0,0,0,0,0,327,1616,4.94,16,84,66,604,9.15,2,RB,330,192,1,1
2,Peyton Hillis,CLE,24,16,14,1,2,13,0,0,270,1177,4.36,11,77,61,477,7.82,2,RB,244,106,2,2
3,Adrian Peterson*,MIN,25,15,15,0,0,0,0,0,283,1298,4.59,12,50,36,341,9.47,1,RB,242,104,3,3
4,Jamaal Charles*+,KAN,24,16,6,0,0,0,0,0,230,1467,6.38,5,64,45,468,10.40,3,RB,242,103,4,4
5,Chris Johnson*,TEN,25,16,16,0,0,0,0,0,316,1364,4.32,11,57,44,245,5.57,1,RB,233,95,5,5
6,Brandon Lloyd*,DEN,29,16,11,0,0,0,0,0,1,-18,-18.00,0,153,77,1448,18.81,11,WR,209,92,1,6
7,Dwayne Bowe*,KAN,26,16,16,0,0,0,0,0,1,4,4.00,0,133,72,1162,16.14,15,WR,207,89,2,7
8,Darren McFadden,OAK,23,13,13,0,1,0,0,0,223,1157,5.19,7,61,47,507,10.79,3,RB,226,88,6,8
9,Roddy White*+,ATL,29,16,16,0,0,0,0,0,1,3,3.00,0,179,115,1389,12.08,10,WR,203,86,3,9
10,Michael Vick*,PHI,30,12,12,233,372,3018,21,6,100,676,6.76,9,0,0,0,,0,QB,316,85,1,10
11,Rashard Mendenhall,PIT,23,16,16,0,0,0,0,0,324,1273,3.93,13,34,23,167,7.26,0,RB,222,84,7,11
12,LeSean McCoy,PHI,22,15,13,0,0,0,0,0,207,1080,5.22,7,91,78,592,7.59,2,RB,221,83,8,12
13,Greg Jennings*,GNB,27,16,16,0,0,0,0,0,1,-1,-1.00,0,125,76,1265,16.64,12,WR,198,81,4,13
14,Matt Forte,CHI,25,16,16,0,0,0,0,0,237,1069,4.51,6,70,51,547,10.73,3,RB,218,80,10,14
15,Michael Turner*,ATL,28,16,15,0,0,0,0,0,334,1371,4.10,12,20,12,85,7.08,0,RB,218,80,9,15
16,Ray Rice,BAL,23,16,14,0,0,0,0,0,307,1220,3.97,5,83,63,556,8.83,1,RB,214,76,11,16
17,Aaron Rodgers,GNB,27,15,15,312,475,3922,28,11,64,356,5.56,4,0,0,0,,0,QB,306,75,2,17
18,Mike Wallace,PIT,24,16,16,0,0,0,0,0,5,39,7.80,0,98,60,1257,20.95,10,WR,190,72,5,18
19,Calvin Johnson*,DET,25,15,15,0,0,0,0,0,4,32,8.00,0,137,77,1120,14.55,12,WR,189,72,6,19
20,Tom Brady*+,NWE,33,16,16,324,492,3900,36,4,31,30,0.97,1,0,0,0,,0,QB,301,70,3,20
21,Ahmad Bradshaw,NYG,24,16,11,0,0,0,0,0,276,1235,4.47,8,58,47,314,6.68,0,RB,205,67,12,21
22,Maurice Jones-Drew*,JAX,25,14,14,0,1,0,0,1,299,1324,4.43,5,44,34,317,9.32,2,RB,204,66,13,22
23,Steven Jackson*,STL,27,16,16,0,0,0,0,0,330,1241,3.76,6,62,46,383,8.33,0,RB,198,60,14,23
24,Jason Witten*+,DAL,28,16,16,0,0,0,0,0,0,0,,0,128,94,1002,10.66,9,TE,156,60,1,24
25,Philip Rivers*,SDG,29,16,16,357,541,4710,30,13,29,52,1.79,0,0,0,0,,0,QB,290,58,4,25
26,Peyton Manning*,IND,34,16,16,450,679,4700,33,17,18,18,1.00,0,0,0,0,,0,QB,288,57,5,26
27,Reggie Wayne*+,IND,32,16,16,0,0,0,0,0,0,0,,0,175,111,1355,12.21,6,WR,172,54,7,27
