
,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
28,Hakeem Nicks,NYG,22,13,12,0,0,0,0,0,0,0,,0,128,79,1052,13.32,11,WR,171,54,8,28
29,Andre Johnson*,HOU,29,13,13,0,0,0,0,0,2,10,5.00,0,138,86,1216,14.14,8,WR,171,53,9,29
30,Steve Johnson,BUF,24,16,13,0,0,0,0,0,0,0,,0,141,82,1073,13.09,10,WR,167,50,10,30
31,BenJarvus Green-Ellis,NWE,25,16,11,0,0,0,0,0,229,1008,4.40,13,16,12,85,7.08,0,RB,187,49,15,31
32,Mike Williams,TAM,23,16,16,0,0,0,0,0,0,0,,0,129,65,964,14.83,11,WR,162,45,11,32
33,Miles Austin*,DAL,26,16,16,0,0,0,0,0,7,93,13.29,1,119,69,1041,15.09,7,WR,161,44,12,33
34,Jeremy Maclin,PHI,22,16,16,0,0,0,0,0,3,36,12.00,0,115,70,964,13.77,10,WR,160,43,13,34
35,Drew Brees*,NOR,31,16,16,448,658,4620,33,22,18,-3,-0.17,0,1,1,7,7.00,0,QB,273,42,6,35
36,Antonio Gates*,SDG,30,10,10,0,0,0,0,0,0,0,,0,65,50,782,15.64,10,TE,138,42,2,36
37,Cedric Benson,CIN,28,16,16,0,0,0,0,0,321,1111,3.46,7,37,28,178,6.36,1,RB,179,41,16,37
38,DeSean Jackson*,PHI,24,14,14,0,0,0,0,0,16,104,6.50,1,95,47,1056,22.47,6,WR,158,41,14,38
39,Vernon Davis,SFO,26,16,16,0,0,0,0,0,0,0,,0,93,56,914,16.32,7,TE,135,39,3,39
40,Terrell Owens,CIN,37,14,11,0,0,0,0,0,0,0,,0,139,72,983,13.65,9,WR,152,35,15,40
41,Larry Fitzgerald*,ARI,27,16,15,0,0,0,0,0,0,0,,0,173,90,1137,12.63,6,WR,152,34,16,41
42,Marcedes Lewis*,JAX,26,16,16,0,0,0,0,0,0,0,,0,89,58,700,12.07,10,TE,130,34,4,42
43,Josh Freeman,TAM,22,16,16,291,474,3451,25,6,68,364,5.35,0,0,0,0,,0,QB,264,33,7,43
44,Mario Manningham,NYG,24,16,8,0,0,0,0,0,1,2,2.00,0,92,60,944,15.73,9,WR,149,31,17,44
45,Santana Moss,WAS,31,16,16,0,0,0,0,0,5,-6,-1.20,0,145,93,1115,11.99,6,WR,147,30,18,45
46,Matt Ryan*,ATL,25,16,16,357,571,3705,28,9,46,122,2.65,0,0,0,0,,0,QB,258,27,8,46
47,Marques Colston,NOR,27,15,11,0,0,0,0,0,1,1,1.00,0,131,84,1023,12.18,7,WR,144,27,19,47
48,LaDainian Tomlinson,NYJ,31,15,13,0,0,0,0,0,219,914,4.17,6,79,52,368,7.08,0,RB,164,26,17,48
49,Knowshon Moreno,DEN,23,13,13,0,0,0,0,0,182,779,4.28,5,48,37,372,10.05,3,RB,163,25,18,49
50,Mike Tolbert,SDG,25,15,4,0,0,0,0,0,182,735,4.04,11,29,25,216,8.64,0,RB,163,25,19,50
51,Frank Gore,SFO,27,11,11,0,0,0,0,0,203,853,4.20,3,72,46,452,9.83,2,RB,161,22,20,51
52,Matt Schaub,HOU,29,16,16,365,574,4370,24,12,22,28,1.27,0,0,0,0,,0,QB,252,20,9,52
53,Rob Gronkowski,NWE,21,16,11,0,0,0,0,0,0,0,,0,59,42,546,13.00,10,TE,115,18,5,53
54,Percy Harvin,MIN,22,14,13,0,0,0,0,0,18,107,5.94,1,109,71,868,12.23,5,WR,136,18,20,54
55,Fred Jackson,BUF,29,16,13,0,0,0,0,0,222,927,4.18,5,54,31,215,6.94,2,RB,156,18,21,55
56,Braylon Edwards,NYJ,27,16,15,0,0,0,0,0,1,4,4.00,0,101,53,904,17.06,7,WR,135,17,21,56
57,Kenny Britt,TEN,22,12,7,0,0,0,0,0,0,0,,0,73,42,775,18.45,9,WR,134,16,22,57
58,Eli Manning,NYG,29,16,16,339,539,4002,31,25,32,70,2.19,0,0,0,0,,0,QB,241,10,10,58
59,Wes Welker*,NWE,29,16,11,0,0,0,0,0,0,0,,0,123,86,848,9.86,7,WR,127,9,23,59
60,Johnny Knox,CHI,24,16,16,0,0,0,0,0,1,2,2.00,0,100,51,960,18.82,5,WR,126,9,24,60
61,Chris Cooley,WAS,28,16,16,0,0,0,0,0,0,0,,0,126,77,849,11.03,3,TE,105,9,6,61
62,Anquan Boldin,BAL,30,16,16,1,1,-6,0,0,2,2,1.00,0,109,64,837,13.08,7,WR,126,8,25,62
63,Joe Flacco,BAL,25,16,16,306,489,3622,25,10,43,84,1.95,1,0,0,0,,0,QB,239,8,11,63
64,Lance Moore,NOR,27,16,1,0,0,0,0,0,0,0,,0,94,66,763,11.56,8,WR,124,7,26,64
65,Kellen Winslow,TAM,27,16,11,0,0,0,0,0,0,0,,0,98,66,730,11.06,5,TE,103,7,7,65
66,Tony Gonzalez*,ATL,34,16,16,0,0,0,0,0,0,0,,0,108,70,656,9.37,6,TE,102,5,8,66
67,Derrick Mason,BAL,36,16,15,0,0,0,0,0,0,0,,0,100,61,802,13.15,7,WR,122,5,27,67
68,Brandon Jacobs,NYG,28,16,5,0,0,0,0,0,147,823,5.60,9,13,7,59,8.43,0,RB,142,4,22,68
69,Dustin Keller,NYJ,26,16,13,0,0,0,0,0,0,0,,0,100,55,687,12.49,5,TE,99,3,9,69
70,Zach Miller*,OAK,25,15,15,0,0,0,0,0,0,0,,0,92,60,685,11.42,5,TE,99,2,10,70
71,Brandon Marshall,MIA,26,14,14,0,1,0,0,0,2,3,1.50,0,146,86,1014,11.79,3,WR,120,2,28,71
72,Jahvid Best,DET,21,16,9,0,1,0,0,0,171,555,3.25,4,80,58,487,8.40,2,RB,140,2,23,72
73,Aaron Hernandez,NWE,21,14,7,0,0,0,0,0,3,47,15.67,0,64,45,563,12.51,6,TE,97,1,11,73
74,Deion Branch,2TM,31,15,12,0,0,0,0,0,0,0,,0,92,61,818,13.41,6,WR,118,,29,74
75,LeGarrette Blount,TAM,24,13,7,0,0,0,0,0,201,1007,5.01,6,7,5,14,2.80,0,RB,138,,24,75
76,Mike Thomas,JAX,23,16,11,0,0,0,0,0,12,114,9.50,0,102,66,820,12.42,4,WR,117,,30,76
77,Brandon Pettigrew,DET,25,16,16,0,0,0,0,0,0,0,,0,111,71,722,10.17,4,TE,96,,12,77
78,Matt Cassel*,KAN,28,15,15,262,450,3116,27,7,33,125,3.79,0,0,0,0,,0,QB,231,,12,78
79,Carson Palmer,CIN,31,16,16,362,586,3970,26,20,32,50,1.56,0,0,0,0,,0,QB,230,,13,
80,David Garrard,JAX,32,14,14,236,366,2734,23,15,66,279,4.23,5,0,0,0,,0,QB,229,,14,
81,Jay Cutler,CHI,27,15,15,261,432,3274,23,16,50,232,4.64,1,0,0,0,,0,QB,222,,15,
82,Kyle Orton,DEN,28,13,13,293,498,3653,20,9,22,98,4.45,0,0,0,0,,0,QB,218,,16,
83,Ben Roethlisberger,PIT,28,12,12,240,389,3200,17,5,33,176,5.33,2,0,0,0,,0,QB,216,,17,
84,Ryan Fitzpatrick,BUF,28,13,13,255,441,3000,23,15,40,269,6.73,0,0,0,0,,0,QB,209,,18,
85,Mark Sanchez,NYJ,24,16,16,278,507,3291,17,13,30,105,3.50,3,0,0,0,,0,QB,204,,19,
86,Sam Bradford,STL,23,16,16,354,590,3512,18,15,27,63,2.33,1,0,0,0,,0,QB,195,,20,
87,Donovan McNabb,WAS,34,13,13,275,472,3377,14,15,29,151,5.21,0,0,0,0,,0,QB,176,,21,
88,Shaun Hill,DET,30,13,10,257,416,2686,16,12,22,123,5.59,0,0,0,0,,0,QB,162,,22,
89,Jason Campbell,OAK,29,13,12,194,329,2387,13,8,47,222,4.72,1,0,0,0,,0,QB,160,,23,
90,Jon Kitna,DAL,38,10,9,209,318,2365,16,12,31,147,4.74,1,0,0,0,,0,QB,159,,24,
91,Chad Henne,MIA,25,15,14,301,490,3301,15,19,35,52,1.49,0,0,0,0,,0,QB,159,,25,
92,Matt Hasselbeck,SEA,35,14,14,266,444,3001,12,17,23,60,2.61,3,0,0,0,,0,QB,158,,26,
93,Alex Smith,SFO,26,11,10,204,342,2370,14,10,18,60,3.33,0,0,0,0,,0,QB,139,,27,
94,Thomas Jones,KAN,32,16,10,0,0,0,0,0,245,896,3.66,6,20,14,122,8.71,0,RB,138,,25,
95,Felix Jones,DAL,23,16,7,0,0,0,0,0,185,800,4.32,1,52,48,450,9.38,1,RB,137,,26,
96,Michael Bush,OAK,26,14,3,0,0,0,0,0,158,655,4.15,8,24,18,194,10.78,0,RB,133,,27,
97,Brandon Jackson,GNB,25,16,13,0,0,0,0,0,190,703,3.70,3,50,43,342,7.95,1,RB,129,,29,
98,Danny Woodhead,2TM,25,15,3,0,0,0,0,0,97,547,5.64,5,44,34,379,11.15,1,RB,129,,28,
99,Ronnie Brown,MIA,29,16,16,0,2,0,0,0,200,734,3.67,5,43,33,242,7.33,0,RB,128,,30,
100,Marshawn Lynch,2TM,24,16,14,0,0,0,0,0,202,737,3.65,6,26,22,145,6.59,0,RB,124,,32,
101,Ryan Mathews,SDG,23,12,9,0,0,0,0,0,158,678,4.29,7,26,22,145,6.59,0,RB,124,,31,
102,Ryan Torain,WAS,24,10,8,0,0,0,0,0,164,742,4.52,4,27,18,125,6.94,2,RB,123,,33,
103,Tim Hightower,ARI,24,16,13,0,0,0,0,0,153,736,4.81,5,42,21,136,6.48,0,RB,117,,34,
104,Pierre Garcon,IND,24,15,14,0,0,0,0,0,2,6,3.00,0,119,67,784,11.70,6,WR,115,,31,
105,Kerry Collins,TEN,38,10,7,160,278,1823,14,8,10,1,0.10,0,0,0,0,,0,QB,115,,28,
106,Austin Collie,IND,25,9,6,0,0,0,0,0,0,0,,0,71,58,649,11.19,8,WR,113,,32,
107,Davone Bess,MIA,25,16,8,0,0,0,0,0,2,-3,-1.50,0,125,79,820,10.38,5,WR,112,,34,
108,Santonio Holmes,NYJ,26,12,10,0,0,0,0,0,2,17,8.50,0,96,52,746,14.35,6,WR,112,,33,
109,Michael Crabtree,SFO,23,16,15,0,0,0,0,0,0,0,,0,101,55,741,13.47,6,WR,110,,35,
110,Malcom Floyd,SDG,29,11,9,0,0,0,0,0,0,0,,0,77,37,717,19.38,6,WR,108,,36,
111,Chad Johnson,CIN,32,14,0,0,1,0,0,0,0,0,,0,120,67,831,12.40,4,WR,107,,37,
112,Brett Favre,MIN,41,13,13,217,358,2509,11,19,17,8,0.47,0,0,0,0,,0,QB,107,,29,
113,Nate Burleson,DET,29,14,14,0,0,0,0,0,7,81,11.57,0,86,55,625,11.36,6,WR,107,,38,
114,Jonathan Stewart,CAR,23,14,7,0,0,0,0,0,178,770,4.33,2,14,8,103,12.88,1,RB,105,,35,
115,Hines Ward,PIT,34,16,15,0,0,0,0,0,1,-2,-2.00,0,95,59,755,12.80,5,WR,105,,39,
116,Anthony Armstrong,WAS,27,15,11,0,0,0,0,0,0,0,,0,86,44,871,19.80,3,WR,105,,40,
117,Nate Washington,TEN,27,16,16,0,0,0,0,0,1,-8,-8.00,0,94,42,687,16.36,6,WR,104,,41,
118,Chris Ivory,NOR,22,12,4,0,0,0,0,0,137,716,5.23,5,1,1,17,17.00,0,RB,103,,36,
119,Shonn Greene,NYJ,25,15,2,0,0,0,0,0,185,766,4.14,2,24,16,120,7.50,0,RB,101,,37,
120,Jabar Gaffney,DEN,30,16,11,0,0,0,0,0,0,0,,0,112,65,875,13.46,2,WR,100,,42,
121,Ricky Williams,MIA,33,16,0,0,0,0,0,0,159,673,4.23,2,30,19,141,7.42,1,RB,99,,38,
122,Tim Tebow,DEN,23,9,3,41,82,654,5,3,43,227,5.28,6,0,0,0,,0,QB,99,,31,
123,Tony Romo,DAL,30,6,6,148,213,1605,11,7,6,38,6.33,0,0,0,11,,0,QB,99,,30,
124,James Jones,GNB,26,16,3,0,0,0,0,0,0,0,,0,87,50,679,13.58,5,WR,98,,44,
125,Mike Sims-Walker,JAX,26,14,13,0,0,0,0,0,0,0,,0,80,43,562,13.07,7,WR,98,,43,
126,Vince Young,TEN,27,9,8,93,156,1255,10,3,25,125,5.00,0,0,0,0,,0,QB,97,,32,
127,Cadillac Williams,TAM,28,16,9,0,0,0,0,0,125,437,3.50,2,64,46,355,7.72,1,RB,97,,39,
128,Robert Meachem,NOR,26,16,7,0,0,0,0,0,4,14,3.50,0,66,44,638,14.50,5,WR,95,,45,
129,Derek Anderson,ARI,27,12,9,169,327,2065,7,10,5,25,5.00,0,0,0,0,,0,QB,95,,33,
130,Danny Amendola,STL,25,16,6,0,0,0,0,0,7,81,11.57,0,123,85,689,8.11,3,WR,95,,46,
131,Ben Watson,CLE,30,16,16,0,0,0,0,0,1,-1,-1.00,0,102,68,763,11.22,3,TE,94,,13,
132,Mike Goodson,CAR,23,16,3,0,0,0,0,0,103,452,4.39,3,57,40,310,7.75,0,RB,94,,40,
133,Jason Snelling,ATL,27,14,0,0,0,0,0,0,87,324,3.72,2,51,44,303,6.89,3,RB,93,,41,
134,Dez Bryant,DAL,22,12,2,0,0,0,0,0,1,0,0.00,0,73,45,561,12.47,6,WR,92,,47,
135,Kevin Walter,HOU,29,16,16,0,0,0,0,0,0,0,,0,80,51,621,12.18,5,WR,92,,48,
136,Rashad Jennings,JAX,25,13,3,0,0,0,0,0,84,459,5.46,4,35,26,223,8.58,0,RB,92,,42,
137,Darren Sproles,SDG,27,16,3,0,0,0,0,0,50,267,5.34,0,75,59,520,8.81,2,RB,91,,43,
138,Justin Forsett,SEA,25,16,5,0,0,0,0,0,118,523,4.43,2,51,33,252,7.64,0,RB,90,,44,
139,Colt McCoy,CLE,24,8,8,135,222,1576,6,9,28,136,4.86,1,1,1,13,13.00,0,QB,90,,34,
140,Todd Heap,BAL,30,13,13,0,0,0,0,0,0,0,,0,64,40,599,14.98,5,TE,90,,14,
141,Jacob Tamme,IND,25,16,8,0,0,0,0,0,0,0,,0,93,67,631,9.42,4,TE,87,,15,
142,Keiland Williams,WAS,24,15,3,0,0,0,0,0,65,261,4.02,3,58,39,309,7.92,2,RB,87,,45,
143,Mike Williams,SEA,26,14,13,0,0,0,0,0,1,0,0.00,0,110,65,751,11.55,2,WR,87,,49,
144,Eddie Royal,DEN,24,16,10,0,0,0,0,0,6,61,10.17,0,105,59,627,10.63,3,WR,87,,50,
145,Jacoby Ford,OAK,23,16,9,0,0,0,0,0,10,155,15.50,2,54,25,470,18.80,2,WR,87,,51,
146,Joseph Addai,IND,27,8,7,0,0,0,0,0,116,495,4.27,4,26,19,124,6.53,0,RB,86,,46,
147,Roy Williams,DAL,29,15,9,0,0,0,0,0,0,0,,0,64,37,530,14.32,5,WR,85,,52,
148,Josh Morgan,SFO,25,16,11,0,0,0,0,0,2,17,8.50,0,80,44,698,15.86,2,WR,84,,53,
149,Kevin Boss,NYG,26,15,13,0,0,0,0,0,0,0,,0,70,35,531,15.17,5,TE,83,,16,
150,Donald Brown,IND,23,13,8,0,0,0,0,0,129,497,3.85,2,28,20,205,10.25,0,RB,82,,47,
151,Steve Breaston,ARI,27,13,11,1,2,17,0,0,3,35,11.67,0,87,47,718,15.28,1,WR,82,,54,
152,Lee Evans,BUF,29,13,13,0,0,0,0,0,0,0,,0,84,37,578,15.62,4,WR,82,,55,
153,Donald Driver,GNB,35,15,15,0,0,0,0,0,0,0,,0,85,51,565,11.08,4,WR,81,,56,
154,Maurice Morris,DET,31,14,7,0,0,0,0,0,90,336,3.73,5,31,25,170,6.80,0,RB,81,,48,
155,Willis McGahee,BAL,29,15,2,0,0,0,0,0,100,380,3.80,5,17,14,55,3.93,1,RB,80,,49,
156,Brian Westbrook,SFO,31,14,5,0,0,0,0,0,77,340,4.42,4,24,16,150,9.38,1,RB,79,,50,
157,Ben Obomanu,SEA,27,15,6,0,0,0,0,0,2,17,8.50,0,49,30,494,16.47,4,WR,79,,57,
158,Jordan Shipley,CIN,25,15,4,0,0,0,0,0,0,0,,0,74,52,600,11.54,3,WR,78,,58,
159,Anthony Fasano,MIA,26,15,15,0,0,0,0,0,0,0,,0,60,39,528,13.54,4,TE,77,,17,
160,Troy Smith,SFO,26,6,6,73,145,1176,5,4,23,121,5.26,1,0,0,0,,0,QB,77,,35,
161,Louis Murphy,OAK,23,14,9,0,0,0,0,0,1,43,43.00,0,78,41,609,14.85,2,WR,77,,59,
162,Jacoby Jones,HOU,26,15,7,0,0,0,0,0,2,7,3.50,0,78,51,562,11.02,3,WR,77,,60,
163,Brandon Gibson,STL,23,14,12,0,0,0,0,0,3,28,9.33,0,91,53,620,11.70,2,WR,77,,61,
164,Joel Dreessen,HOU,28,16,10,0,0,0,0,0,0,0,,0,55,36,518,14.39,4,TE,76,,18,
165,Earl Bennett,CHI,23,14,3,0,0,0,0,0,2,9,4.50,0,71,46,561,12.20,3,WR,75,,62,
166,Devin Hester*+,CHI,28,16,13,0,0,0,0,0,7,30,4.29,0,73,40,475,11.88,4,WR,75,,63,
167,Brent Celek,PHI,25,16,15,0,0,0,0,0,0,0,,0,79,42,511,12.17,4,TE,75,,19,
168,John Kuhn,GNB,28,16,2,0,0,0,0,0,84,281,3.35,4,18,15,97,6.47,2,RB,74,,51,
169,Tony Moeaki,KAN,23,15,15,0,0,0,0,0,0,0,,0,73,47,556,11.83,3,TE,74,,20,
170,Jermaine Gresham,CIN,22,15,10,0,0,0,0,0,0,0,,0,83,52,471,9.06,4,TE,73,,21,
171,Steve Smith,NYG,25,9,7,0,0,0,0,0,0,0,,0,75,48,529,11.02,3,WR,71,,64,
172,Greg Olsen,CHI,25,16,13,0,0,0,0,0,0,0,,0,70,41,404,9.85,5,TE,70,,22,
173,Marcel Reece,OAK,25,16,10,0,0,0,0,0,30,122,4.07,1,43,25,333,13.32,3,RB,70,,52,
174,Jordy Nelson,GNB,25,16,4,0,0,0,0,0,0,0,,0,64,45,582,12.93,2,WR,70,,65,
175,Brian Hartline,MIA,24,12,11,0,0,0,0,0,2,27,13.50,0,73,43,615,14.30,1,WR,70,,66,
176,Randy Moss,3TM,33,16,11,0,0,0,0,0,0,0,,0,63,28,393,14.04,5,WR,69,,67,
177,David Gettis,CAR,23,15,13,0,0,0,0,0,3,2,0.67,0,67,37,508,13.73,3,WR,69,,68,
178,Kevin Kolb,PHI,26,7,5,115,189,1197,7,7,15,65,4.33,0,0,0,0,,0,QB,68,,36,
179,Steve Smith,CAR,31,14,14,0,0,0,0,0,1,9,9.00,0,100,46,554,12.04,2,WR,68,,69,
180,Brandon Tate,NWE,23,16,10,0,0,0,0,0,5,62,12.40,0,46,24,432,18.00,3,WR,67,,70,
181,Marion Barber,DAL,27,13,10,0,1,0,0,0,113,374,3.31,4,16,11,49,4.45,0,RB,66,,53,
182,Jimmy Graham,NOR,24,15,5,0,0,0,0,0,1,3,3.00,0,44,31,356,11.48,5,TE,66,,23,
183,Blair White,IND,23,13,4,0,0,0,0,0,0,0,,0,57,36,355,9.86,5,WR,66,,71,
184,Visanthe Shiancoe,MIN,30,16,9,0,0,0,0,0,0,0,,0,79,47,530,11.28,2,TE,65,,24,
185,Jason Avant,PHI,27,16,3,0,0,0,0,0,0,0,,0,76,51,573,11.24,1,WR,65,,72,
186,Mohamed Massaquoi,CLE,24,15,14,1,1,29,1,0,1,-3,-3.00,0,73,36,483,13.42,2,WR,65,,73,
187,Deon Butler,SEA,24,13,8,0,0,0,0,0,2,6,3.00,0,70,36,385,10.69,4,WR,63,,74,
188,Correll Buckhalter,DEN,32,15,0,0,0,0,0,0,59,147,2.49,2,39,28,240,8.57,2,RB,63,,54,
189,Michael Jenkins,ATL,28,11,9,0,0,0,0,0,0,0,,0,73,41,505,12.32,2,WR,63,,75,
190,Heath Miller,PIT,28,14,14,0,0,0,0,0,0,0,,0,67,42,512,12.19,2,TE,63,,25,
191,Derrick Ward,HOU,30,16,0,0,0,0,0,0,50,315,6.30,4,11,7,61,8.71,0,RB,62,,55,
192,Jimmy Clausen,CAR,23,13,10,157,299,1558,3,9,23,57,2.48,0,0,0,0,,0,QB,62,,37,
193,Rex Grossman,WAS,30,4,3,74,133,884,7,4,3,6,2.00,0,0,0,0,,0,QB,60,,38,
194,Brandon LaFell,CAR,24,14,2,0,1,0,0,0,1,60,60.00,0,77,38,468,12.32,1,WR,59,,76,
195,Owen Daniels,HOU,28,11,10,0,0,0,0,0,0,0,,0,68,38,471,12.39,2,TE,59,,26,
196,Beanie Wells,ARI,22,13,2,0,0,0,0,0,116,397,3.42,2,8,5,74,14.80,0,RB,59,,56,
197,Pierre Thomas,NOR,26,6,3,0,0,0,0,0,83,269,3.24,2,29,29,201,6.93,0,RB,59,,57,
198,Jeremy Shockey,NOR,30,13,11,0,0,0,0,0,0,0,,0,59,41,408,9.95,3,TE,59,,27,
199,Chester Taylor,CHI,31,16,1,0,0,0,0,0,112,267,2.38,3,26,20,139,6.95,0,RB,59,,58,
200,Drew Stanton,DET,26,6,3,69,119,780,4,3,18,113,6.28,1,0,0,0,,0,QB,59,,39,
201,T.J. Houshmandzadeh,BAL,33,16,2,0,0,0,0,0,0,0,,0,57,30,398,13.27,3,WR,58,,77,
202,Patrick Crayton,SDG,31,9,2,0,1,0,0,0,0,0,,0,42,28,514,18.36,1,WR,57,,78,
203,Bo Scaife,TEN,29,14,13,0,0,0,0,0,0,0,,0,52,36,318,8.83,4,TE,56,,28,
204,Toby Gerhart,MIN,23,15,1,0,0,0,0,0,81,322,3.98,1,29,21,167,7.95,0,RB,55,,59,
205,Jerricho Cotchery,NYJ,28,14,5,0,0,0,0,0,4,-3,-0.75,0,86,41,433,10.56,2,WR,55,,80,
206,Arrelious Benn,TAM,22,15,9,0,0,0,0,0,6,35,5.83,0,38,25,395,15.80,2,WR,55,,79,
207,Roscoe Parrish,BUF,28,8,6,0,0,0,0,0,3,23,7.67,0,53,33,400,12.12,2,WR,54,,81,
208,Javarris James,IND,23,10,0,0,0,0,0,0,46,112,2.43,6,11,9,63,7.00,0,RB,54,,60,
209,Devery Henderson,NOR,28,16,11,0,0,0,0,0,3,8,2.67,0,59,34,464,13.65,1,WR,53,,82,
210,Tashard Choice,DAL,26,16,0,0,0,0,0,0,66,243,3.68,3,22,17,109,6.41,0,RB,53,,62,
211,Matthew Stafford,DET,22,3,3,57,96,535,6,1,4,11,2.75,1,0,0,0,,0,QB,53,,40,
212,David Nelson,BUF,24,15,3,0,0,0,0,0,0,0,,0,47,31,353,11.39,3,RB,53,,61,
213,Dallas Clark,IND,31,6,6,0,0,0,0,0,0,0,,0,53,37,347,9.38,3,TE,53,,29,
214,Bruce Gradkowski,OAK,27,6,4,83,157,1059,5,7,12,41,3.42,0,0,0,0,,0,QB,52,,41,
215,Daniel Fells,STL,27,16,6,0,0,0,0,0,0,0,,0,65,41,391,9.54,2,TE,51,,30,
216,C.J. Spiller,BUF,23,14,1,0,0,0,0,0,74,283,3.82,0,30,24,157,6.54,1,RB,50,,63,
217,Emmanuel Sanders,PIT,23,13,1,0,0,0,0,0,0,0,,0,50,28,376,13.43,2,WR,50,,83,
218,Fred Davis,WAS,24,16,9,0,0,0,0,0,0,0,,0,31,21,316,15.05,3,TE,50,,31,
219,Brian Robiskie,CLE,23,14,11,0,0,0,0,0,0,0,,0,49,29,310,10.69,3,WR,49,,84,
220,DeAngelo Williams,CAR,27,6,6,0,0,0,0,0,87,361,4.15,1,13,11,61,5.55,0,RB,48,,64,
221,Jerome Harrison,2TM,27,12,2,0,0,0,0,0,71,330,4.65,1,13,12,85,7.08,0,RB,48,,65,
222,Darrius Heyward-Bey,OAK,23,15,14,0,0,0,0,0,4,48,12.00,0,65,26,366,14.08,1,WR,47,,85,
223,Jerome Simpson,CIN,24,5,3,0,0,0,0,0,1,2,2.00,0,25,20,277,13.85,3,WR,46,,86,
