
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
276,Terrence Cody,BAL,23,16,16,,0,0,0,0,1,,,,,,22,17,
277,Michael Coe,NYG,28,10,0,,0,0,0,0,1,,,,,,9,1,
278,Barry Cofield,WAS,27,16,16,3.0,0,0,0,0,8,0,0,1,3,0,15,10,
279,Landon Cohen,NWE,26,1,0,,,,,,,,,,,,1,0,
280,Marquice Cole,NYJ,28,14,0,,,,,,,0,0,1,0,0,7,4,
281,Trent Cole,PHI,29,14,14,11.0,0,0,0,0,2,1,0,0,0,0,41,3,
282,Antonio Coleman,BUF,25,4,0,,,,,,,,,,,,2,2,
283,Drew Coleman,JAX,28,16,4,2.0,2,5,0,8,9,3,0,0,0,0,32,14,
284,Erik Coleman,DET,29,4,0,,,,,,,,,,,,2,0,
285,Kenyon Coleman,DAL,32,16,15,1.0,0,0,0,0,3,,,,,,23,13,
286,Kurt Coleman,PHI,23,15,13,,4,60,0,35,5,1,0,0,0,0,54,22,
287,Daryn Colledge,ARI,30,16,16,,,,,,,0,0,1,0,0,3,0,
288,Austin Collie,IND,26,16,5,,,,,,,,,,,,1,0,
289,Jed Collins,NOR,25,16,11,,,,,,,,,,,,2,0,
290,Nate Collins,JAX,24,12,0,0.5,0,0,0,0,1,0,0,1,0,1,0,10,
291,Nick Collins,GNB,28,2,2,,0,0,0,0,1,1,0,0,0,0,9,3,
292,Dustin Colquitt,KAN,29,16,0,,,,,,,0,1,0,0,0,0,1,
293,Marques Colston,NOR,28,14,7,,,,,,,0,1,0,0,0,1,0,
294,Kavell Conner,IND,24,16,15,,0,0,0,0,2,1,0,1,0,0,50,54,
295,Dan Connor,CAR,26,15,11,,,,,,,1,0,0,0,0,52,21,
296,Sean Considine,2TM,30,12,0,,,,,,,0,0,2,0,0,5,4,
297,Chris Conte,CHI,22,14,9,,1,0,0,0,2,,,,,,23,7,
298,Chris Cook,MIN,24,6,3,,0,0,0,0,4,,,,,,15,3,
299,Erik Cook,WAS,24,7,2,,,,,,,,,,,,2,0,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
300,Jared Cook,TEN,24,16,5,,,,,,,0,2,0,0,0,2,0,
301,Riley Cooper,PHI,24,16,3,,,,,,,1,0,0,0,0,0,1,
302,Stephen Cooper,SDG,32,5,0,,,,,,,,,,,,0,1,
303,Terrance Copper,KAN,29,16,2,,,,,,,,,,,,3,0,
304,Reggie Corner,BUF,28,11,1,,1,4,0,4,3,,,,,,4,1,
305,Quan Cosby,2TM,29,10,0,,,,,,,0,2,1,0,0,1,0,
306,Blake Costanzo,SFO,27,16,0,,,,,,,,,,,,11,1,
307,Jerricho Cotchery,PIT,29,13,0,,,,,,,,,,,,1,0,
308,Derek Cox,JAX,25,6,6,,0,0,0,0,2,,,,,,16,6,
309,Kennard Cox,SEA,26,12,0,0.5,,,,,,,,,,,1,3,
310,Tom Crabtree,GNB,26,16,9,,,,,,,,,,,,5,1,
311,Patrick Crayton,SDG,32,14,1,,,,,,,0,2,1,0,0,2,0,
312,Josh Cribbs,CLE,28,16,7,,,,,,,0,3,2,0,0,10,5,
313,Chris Crocker,CIN,31,16,16,3.5,0,0,0,0,6,1,0,0,0,0,45,16,
314,Antonio Cromartie,NYJ,27,16,16,,4,105,0,42,12,1,2,0,0,0,36,9,
315,Da'Mon Cromartie-Smith,PIT,24,4,0,,,,,,,,,,,,3,0,
316,Mason Crosby,GNB,27,16,0,,,,,,,0,0,1,2,0,2,1,
317,Tim Crowder,TAM,26,10,0,,0,0,0,0,1,,,,,,10,4,
318,Victor Cruz,NYG,25,16,7,,,,,,,0,1,1,0,0,2,0,
319,Chris Culliver,SFO,23,16,0,,1,23,0,23,8,,,,,,33,2,
320,Tyrone Culver,MIA,28,16,4,1.0,0,0,0,0,1,1,0,1,0,0,27,9,
321,Jeff Cumberland,NYJ,24,3,0,,,,,,,,,,,,1,0,
322,Jermaine Cunningham,NWE,23,9,0,,,,,,,,,,,,0,1,
323,Aaron Curry,2TM,25,16,11,,0,0,0,0,8,0,0,4,12,2,80,34,
324,Dominique Curry,STL,24,16,0,,,,,,,0,0,1,0,0,9,1,
325,Brian Cushing,HOU,24,16,16,4.0,2,5,0,5,6,2,0,0,0,0,81,44,
326,Jay Cutler,CHI,28,10,10,,,,,,,0,7,4,-8,0,1,0,
327,Jacob Cutrera,TAM,23,8,0,,,,,,,,,,,,3,0,
328,Ryan D'Imperio,MIN,24,12,1,,,,,,,0,0,2,0,0,0,1,
329,Craig Dahl,STL,26,16,3,,1,-3,0,-3,1,2,0,0,0,0,52,9,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
330,Harvey Dahl,STL,30,16,16,,,,,,,,,,,,1,0,
331,Andy Dalton*,CIN,24,16,16,,,,,,,0,5,0,0,0,2,0,
332,Owen Daniels,HOU,29,15,15,,,,,,,,,,,,0,1,
333,Travis Daniels,KAN,29,16,0,,2,25,0,25,3,,,,,,13,1,
334,Karlos Dansby,MIA,30,16,16,2.0,1,14,0,14,5,2,0,0,0,0,88,15,
335,Marcell Dareus,BUF,22,16,15,5.5,0,0,0,0,1,0,0,1,0,0,32,11,
336,Andra Davis,BUF,33,16,3,,,,,,,,,,,,6,8,
337,Chauncey Davis,CHI,28,6,0,1.0,,,,,,,,,,,8,1,
338,Fred Davis,WAS,25,12,12,,,,,,,0,1,0,0,0,3,0,
339,Kellen Davis,CHI,26,16,15,,,,,,,,,,,,1,0,
340,Rashied Davis,DET,32,11,0,,,,,,,,,,,,6,1,
341,Thomas Davis,CAR,28,2,2,,,,,,,0,0,1,0,0,6,6,
342,Vontae Davis,MIA,23,12,12,1.0,4,60,0,28,8,,,,,,39,4,
343,Brian Dawkins*,DEN,38,14,12,3.0,0,0,0,0,7,1,0,0,0,0,38,13,
344,Keyunta Dawson,DET,26,2,0,,,,,,,,,,,,1,0,
345,Phil Dawson,CLE,36,16,0,,,,,,,,,,,,1,0,
346,Brandon Deaderick,NWE,24,10,5,2.0,,,,,,,,,,,13,6,
347,Larry Dean,MIN,23,16,0,,,,,,,,,,,,1,1,
348,Dom DeCicco,CHI,23,16,0,,,,,,,,,,,,0,1,
349,Eric Decker,DEN,24,16,13,,,,,,,0,1,0,0,0,2,0,
350,Thomas DeCoud,ATL,26,16,15,,4,77,0,49,6,,,,,,73,19,
351,Louis Delmas,DET,24,11,11,,0,0,0,0,5,0,0,1,0,0,43,18,
352,Quintin Demps,HOU,26,9,0,,2,47,0,42,4,,,,,,20,5,
353,Akeem Dent,ATL,24,16,0,,0,0,0,0,1,1,0,0,0,0,13,7,
354,Zak DeOssie,NYG,27,16,0,,,,,,,,,,,,0,2,
355,Mike DeVito,NYJ,27,12,11,1.0,,,,,,2,0,0,0,0,27,7,
356,Ed Dickson,BAL,24,16,16,,,,,,,,,,,,1,0,
357,David Diehl,NYG,31,16,16,,,,,,,0,0,1,0,0,1,0,
358,Kris Dielman,SDG,30,6,6,,,,,,,,,,,,1,0,
359,Na'il Diggs,SDG,33,13,0,,0,0,0,0,1,,,,,,34,6,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
360,Zach Diles,2TM,26,11,0,,,,,,,,,,,,2,0,
361,Jarett Dillard,JAX,26,14,5,,,,,,,0,1,1,-8,0,1,0,
362,Antonio Dixon,PHI,26,4,0,,,,,,,,,,,,3,1,
363,Marcus Dixon,NYJ,27,16,3,1.5,0,0,0,0,1,1,0,1,0,0,11,5,
364,Tim Dobbins,HOU,29,15,0,,0,0,0,0,1,1,0,0,0,0,10,2,
365,Demarcus Dobbs,SFO,24,12,0,,,,,,,,,,,,2,0,
366,James Dockery,CLE,23,12,0,,,,,,,,,,,,0,3,
367,Darnell Dockett,ARI,30,16,16,3.5,0,0,0,0,1,1,0,2,0,0,35,16,
368,Brandyn Dombrowski,SDG,26,15,2,,,,,,,0,0,1,0,0,,,
369,Ryan Donahue,DET,23,8,0,,,,,,,,,,,,1,1,
370,Glenn Dorsey,KAN,26,15,15,,,,,,,,,,,,31,29,
371,Demar Dotson,TAM,26,13,2,,,,,,,,,,,,0,1,
372,Lionel Dotson,BUF,26,5,0,,,,,,,,,,,,0,2,
373,Early Doucet,ARI,26,16,6,,,,,,,0,1,0,0,0,2,1,
374,Reed Doughty,WAS,29,16,11,,,,,,,2,0,1,0,0,58,30,
375,Leger Douzable,JAX,25,16,6,1.0,0,0,0,0,1,,,,,,22,16,
376,Ras-I Dowling,NWE,23,2,2,,,,,,,,,,,,2,1,
377,Joel Dreessen,HOU,29,16,10,,,,,,,,,,,,4,0,
378,Elvis Dumervil*,DEN,27,14,14,9.5,0,0,0,0,1,0,0,1,0,0,31,11,
379,Jo-Lonn Dunbar,NOR,26,16,14,1.0,0,0,0,0,6,2,0,0,0,0,58,22,
380,Carlos Dunlap,CIN,22,12,1,4.5,0,0,0,0,3,0,0,1,35,1,12,11,
381,King Dunlap,PHI,26,12,2,,,,,,,,,,,,1,0,
382,Justin Durant,DET,26,13,12,1.0,0,0,0,0,1,1,0,2,0,0,53,15,
383,Jonathan Dwyer,PIT,22,7,0,,,,,,,,,,,,0,1,
384,Nick Eason,ARI,31,16,6,1.0,,,,,,,,,,,8,4,
385,A.J. Edds,2TM,24,11,0,,,,,,,,,,,,3,18,
386,Julian Edelman,NWE,25,13,0,,,,,,,1,3,2,0,0,11,5,
387,Dwan Edwards,BUF,30,16,13,2.5,0,0,0,0,1,,,,,,29,23,
388,Ray Edwards,ATL,26,16,16,3.5,0,0,0,0,3,0,0,2,64,0,24,9,
389,Isaiah Ekejiuba,DET,30,3,0,,,,,,,,,,,,0,1,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
390,Abram Elam,DAL,30,16,16,,,,,,,1,0,1,1,0,54,14,
391,Dannell Ellerbe,BAL,26,9,3,,,,,,,,,,,,14,6,
392,Kenrick Ellis,NYJ,24,5,2,,,,,,,,,,,,5,2,
393,Sedrick Ellis,NOR,26,15,15,0.5,0,0,0,0,4,,,,,,11,20,
394,Shaun Ellis,NWE,34,15,10,1.0,,,,,,,,,,,7,7,
395,Auston English,CLE,24,7,0,,,,,,,,,,,,4,0,
396,Larry English,SDG,25,5,0,2.0,,,,,,,,,,,5,2,
397,Trai Essex,PIT,29,16,3,,,,,,,0,0,1,0,0,,,
398,Fred Evans,MIN,28,16,0,,,,,,,,,,,,13,9,
399,Jahri Evans*+,NOR,28,16,16,,,,,,,,,,,,1,0,
400,Lee Evans,BAL,30,9,2,,,,,,,,,,,,2,0,
401,Nick Fairley,DET,23,10,0,1.0,,,,,,,,,,,9,6,
402,Jonathan Fanene,CIN,29,16,2,6.5,0,0,0,0,2,0,0,2,0,0,17,7,
403,James Farrior,PIT,36,14,14,2.0,0,0,0,0,3,,,,,,54,24,
404,Heath Farwell,SEA,30,11,0,,,,,,,,,,,,14,7,
405,Anthony Fasano,MIA,27,15,15,,,,,,,0,0,1,0,0,3,0,
406,Jay Feely,ARI,35,16,0,,0,0,0,0,1,,,,,,,,
407,Daniel Fells,DEN,28,16,15,,,,,,,0,2,0,0,0,5,0,
408,Jerome Felton,2TM,25,14,3,,,,,,,,,,,,0,1,
409,D'Brickashaw Ferguson*,NYJ,28,16,16,,,,,,,0,0,1,0,0,2,0,
410,Brandon Fields,MIA,27,16,0,,,,,,,,,,,,1,0,
411,Ronald Fields,CAR,30,6,0,,,,,,,,,,,,6,1,
412,Jermichael Finley,GNB,24,16,13,,,,,,,,,,,,2,0,
413,Cortland Finnegan,TEN,27,16,16,1.0,1,8,0,8,11,0,0,1,0,0,58,17,
414,Larry Fitzgerald*,ARI,28,16,16,,,,,,,,,,,,4,0,
415,Ryan Fitzpatrick,BUF,29,16,16,,,,,,,0,7,4,0,0,1,0,
416,Joe Flacco,BAL,26,16,16,,,,,,,0,11,4,-7,0,2,0,
417,Bradley Fletcher,STL,25,4,4,,0,0,0,0,1,,,,,,22,1,
418,Dane Fletcher,NWE,25,10,5,,,,,,,0,0,1,1,0,19,13,
419,London Fletcher*,WAS,36,16,16,1.5,2,0,0,0,8,2,0,0,0,0,96,70,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
420,Drayton Florence,BUF,31,16,16,,3,64,1,30,12,1,0,1,0,0,41,9,
421,Brandon Flowers,KAN,25,16,16,,4,95,1,58,20,,,,,,47,12,
422,Andre Fluellen,DET,26,13,0,,,,,,,1,0,0,0,0,9,3,
423,Moise Fokou,PHI,26,11,7,,0,0,0,0,2,,,,,,15,7,
424,Larry Foote,PIT,31,15,5,1.5,0,0,0,0,1,,,,,,30,17,
425,Jacoby Ford,OAK,24,8,3,,,,,,,0,3,0,0,0,4,0,
426,Matt Forte*,CHI,26,12,12,,,,,,,0,2,0,0,0,3,0,
427,Arian Foster*,HOU,25,13,13,,,,,,,0,6,2,0,0,3,0,
428,Eric Foster,IND,26,4,3,,,,,,,,,,,,6,6,
429,Mason Foster,TAM,22,16,15,2.0,1,0,0,0,2,1,0,1,0,0,58,26,
430,Ramon Foster,PIT,25,15,14,,,,,,,,,,,,1,0,
431,Keyaron Fox,WAS,29,13,0,,,,,,,,,,,,10,3,
432,Domonique Foxworth,BAL,28,2,0,,,,,,,,,,,,1,1,
433,Eric Frampton,MIN,27,16,0,,,,,,,,,,,,17,3,
434,Rob Francois,GNB,26,11,2,,2,1,0,1,3,1,0,0,0,0,15,3,
435,Aubrayo Franklin,NOR,31,16,9,,,,,,,,,,,,12,5,
436,Orlando Franklin,DEN,24,16,16,,,,,,,0,0,1,0,0,1,0,
437,Stephen Franklin,JAX,23,5,0,,,,,,,,,,,,0,1,
438,Dominique Franks,ATL,24,14,4,,2,0,0,0,5,0,1,0,0,0,13,7,
439,Doug Free,DAL,27,16,16,,,,,,,0,0,1,0,0,2,0,
440,Josh Freeman,TAM,23,15,15,,,,,,,0,9,2,-13,0,3,0,
441,Dwight Freeney*,IND,31,16,15,8.5,,,,,,2,0,0,0,0,13,6,
442,Sione Fua,CAR,23,12,11,,,,,,,,,,,,4,5,
443,Scott Fujita,CLE,32,10,10,,1,3,0,3,3,,,,,,37,13,
444,Blaine Gabbert,JAX,22,15,14,,,,,,,0,14,4,-39,0,1,0,
445,Andrew Gachkar,SDG,23,16,0,,,,,,,,,,,,11,4,
446,Jabar Gaffney,WAS,31,16,15,,,,,,,0,1,0,0,0,2,0,
447,Jared Gaither,2TM,25,15,5,,,,,,,0,0,1,0,0,,,
448,Omar Gaither,CAR,27,10,4,1.0,0,0,0,0,1,,,,,,24,7,
449,Anthony Gaitor,TAM,23,8,0,,,,,,,,,,,,5,0,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
450,Junior Galette,NOR,23,16,1,4.5,,,,,,,,,,,10,8,
451,Robert Gallery,SEA,31,12,12,,,,,,,,,,,,1,0,
452,Chris Gamble,CAR,28,15,15,,3,43,0,24,12,,,,,,37,8,
453,Dylan Gandy,DET,29,16,0,,,,,,,0,0,1,0,0,,,
454,Graham Gano,WAS,24,16,0,,,,,,,,,,,,0,1,
455,Antonio Garay,SDG,32,16,13,2.5,,,,,,,,,,,37,20,
456,Pierre Garcon,IND,25,16,16,,,,,,,0,2,1,0,0,2,0,
457,Roberto Garza,CHI,32,16,16,,,,,,,0,1,0,0,0,1,0,
458,Antonio Gates*,SDG,31,13,13,,,,,,,,,,,,3,0,
459,Clyde Gates,MIA,25,13,0,,,,,,,,,,,,1,0,
460,William Gay,PIT,26,16,15,,2,12,0,12,14,0,0,1,2,0,49,12,
461,Robert Geathers,CIN,28,14,13,2.5,0,0,0,0,1,,,,,,10,19,
462,Toby Gerhart,MIN,24,16,5,,,,,,,0,1,2,0,0,1,0,
463,Brandon Ghee,CIN,24,7,0,,,,,,,,,,,,0,1,
464,Brandon Gibson,STL,24,15,9,,,,,,,,,,,,0,1,
465,Gary Gibson,STL,29,16,1,3.0,0,0,0,0,2,,,,,,13,3,
466,Wallace Gilberry,KAN,27,16,1,2.5,0,0,0,0,3,2,0,0,0,0,6,4,
467,Marcus Gilbert,PIT,23,14,13,,,,,,,,,,,,3,0,
468,Marcus Gilchrist,SDG,23,14,4,,2,22,0,21,4,0,0,1,40,0,27,7,
469,Ted Ginn,SFO,26,14,3,,,,,,,0,0,1,0,0,1,0,
470,Matt Giordano,OAK,29,15,9,1.0,5,130,0,62,5,1,0,0,0,0,56,14,
471,Chris Gocong,CLE,28,16,16,3.5,0,0,0,0,3,2,0,1,0,0,49,21,
472,Charles Godfrey,CAR,26,14,14,1.0,2,30,0,21,7,1,0,0,0,0,62,18,
473,Adam Goldberg,STL,31,16,8,,,,,,,1,0,0,0,0,1,0,
474,Dashon Goldson*,SFO,27,14,14,,6,53,0,21,10,1,0,1,0,0,55,12,
475,Kedric Golston,WAS,28,9,0,1.5,,,,,,1,0,0,0,0,8,8,
476,DeJon Gomes,WAS,22,15,5,,0,0,0,0,2,,,,,,21,14,
477,Tony Gonzalez*,ATL,35,16,16,,,,,,,,,,,,4,0,
478,Tavares Gooden,SFO,27,16,0,,,,,,,1,0,0,0,0,1,0,
479,Andre' Goodman,DEN,33,16,16,,2,46,1,26,10,0,1,2,0,0,41,8,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
480,Richard Goodman,SDG,24,16,0,,,,,,,,,,,,4,1,
481,Amon Gordon,KAN,30,16,2,2.0,0,0,0,0,1,,,,,,16,7,
482,Richard Gordon,OAK,24,14,1,,,,,,,,,,,,7,0,
483,Josh Gordy,STL,24,14,9,,3,37,0,30,5,0,0,1,0,0,33,10,
484,Frank Gore*,SFO,28,16,15,,,,,,,0,2,0,0,0,1,0,
485,Danny Gorrer,BAL,25,11,0,,0,0,0,0,4,,,,,,5,0,
486,Stephen Gostkowski,NWE,27,16,0,,,,,,,,,,,,3,1,
487,Brandon Graham,PHI,23,3,0,,,,,,,,,,,,5,0,
488,Corey Graham*,CHI,26,16,0,,3,11,0,10,3,,,,,,13,3,
489,Earnest Graham,TAM,31,7,2,,,,,,,0,1,3,0,0,2,0,
490,Deon Grant,NYG,32,16,9,1.0,1,0,0,0,6,0,0,1,1,0,45,19,
491,Larry Grant,SFO,26,16,3,2.0,0,0,0,0,5,1,0,0,0,0,24,11,
492,A.J. Green*,CIN,23,15,15,,,,,,,0,1,1,0,0,2,0,
493,Howard Green,GNB,32,16,5,,,,,,,,,,,,3,8,
494,Marshay Green,ARI,25,1,0,,,,,,,,,,,,1,0,
495,Virgil Green,DEN,23,15,3,,,,,,,,,,,,3,1,
496,BenJarvus Green-Ellis,NWE,26,16,6,,,,,,,,,,,,0,2,
497,Courtney Greene,JAX,25,7,2,,,,,,,,,,,,4,2,
498,Shonn Greene,NYJ,26,16,15,,,,,,,0,1,1,0,0,2,0,
499,Chad Greenway*,MIN,28,16,16,2.0,0,0,0,0,2,0,0,1,0,0,89,65,
500,Cory Greenwood,KAN,26,16,0,,,,,,,,,,,,10,3,
501,Jabari Greer,NOR,29,16,16,,1,2,0,2,19,,,,,,60,11,
502,Kelly Gregg,KAN,35,16,14,1.0,0,0,0,0,1,,,,,,24,15,
503,Steve Gregory,SDG,28,15,13,,1,26,1,26,3,,,,,,56,11,
504,Jermaine Gresham*,CIN,23,14,13,,,,,,,0,1,0,0,0,1,0,
505,Everson Griffen,MIN,24,16,0,4.0,0,0,0,0,2,1,0,1,9,0,8,6,
506,Cedric Griffin,MIN,29,16,14,,1,0,0,0,9,3,0,0,0,0,55,12,
507,Michael Griffin,TEN,26,16,16,,2,0,0,0,6,1,0,0,0,0,59,16,
508,Brent Grimes,ATL,28,12,12,,1,29,0,29,14,1,0,0,0,0,37,12,
509,Cody Grimm,TAM,24,3,3,,0,0,0,0,1,,,,,,9,0,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
510,Chris Gronkowski,IND,25,7,0,,,,,,,,,,,,3,0,
511,Rob Gronkowski*+,NWE,22,16,16,,,,,,,,,,,,1,0,
512,Jordan Gross,CAR,31,15,15,,,,,,,,,,,,1,0,
513,Rex Grossman,WAS,31,13,13,,,,,,,0,8,2,-9,0,,,
514,Quentin Groves,OAK,27,16,3,,0,0,0,0,2,1,0,0,0,0,15,4,
515,Letroy Guion,MIN,24,16,3,,,,,,,0,0,1,0,0,14,6,
516,Gary Guyton,NWE,26,13,6,,1,17,0,17,1,,,,,,26,21,
517,Joe Haden,CLE,22,15,15,1.0,0,0,0,0,19,1,0,1,0,0,53,12,
518,Derek Hagan,2TM,27,10,3,,,,,,,,,,,,0,2,
519,Eric Hagg,CLE,22,10,0,,0,0,0,0,1,0,0,1,0,0,10,1,
520,Mario Haggan,DEN,31,16,1,,1,16,1,16,1,,,,,,13,10,
521,Clark Haggans,ARI,34,16,16,3.0,0,0,0,0,2,1,0,1,0,0,30,16,
522,Tamba Hali*,KAN,28,16,16,12.0,,,,,,4,0,0,0,0,48,18,
523,Ahmard Hall,TEN,32,12,7,,,,,,,0,1,0,0,0,2,0,
524,Chad Hall,PHI,25,7,0,,,,,,,,,,,,1,0,
525,DeAngelo Hall,WAS,28,16,16,,3,46,0,26,17,1,0,0,0,0,65,25,
526,James Hall,STL,34,15,15,6.0,0,0,0,0,2,,,,,,38,12,1
527,Korey Hall,NOR,28,13,0,,,,,,,,,,,,4,1,
528,Leon Hall,CIN,27,9,9,,2,15,0,15,7,0,0,1,10,0,29,3,
529,Casey Hampton,PIT,34,13,12,,,,,,,,,,,,17,14,
530,Caleb Hanie,CHI,26,6,4,,,,,,,0,1,1,0,0,,,
531,Jason Hanson,DET,41,16,0,,,,,,,,,,,,1,1,
532,Joselio Hanson,PHI,30,16,1,,0,0,0,0,4,0,0,2,4,0,26,4,
533,Parys Haralson,SFO,27,16,16,2.0,,,,,,3,0,0,0,0,24,6,
534,Clay Harbor,PHI,24,16,3,,,,,,,,,,,,1,0,
535,Montario Hardesty,CLE,24,10,4,,,,,,,0,1,0,0,0,0,1,
536,Derek Hardman,TAM,25,3,0,,,,,,,,,,,,1,0,
537,Nick Hardwick,SDG,30,16,16,,,,,,,0,0,1,0,0,,,
538,Greg Hardy,CAR,23,16,16,4.0,0,0,0,0,11,1,0,0,0,0,38,12,1
539,Anthony Hargrove,SEA,28,15,0,3.0,,,,,,,,,,,13,5,1
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
540,Jamie Harper,TEN,22,14,0,,,,,,,0,1,1,0,0,,,
541,Roman Harper,NOR,29,16,16,7.5,0,0,0,0,8,3,0,1,0,0,73,22,
542,Al Harris,STL,37,9,5,,0,0,0,0,7,0,0,1,3,0,12,3,
543,Brandon Harris,HOU,21,7,0,,,,,,,,,,,,2,1,
544,Chris Harris,DEN,22,16,4,,1,15,0,15,6,0,0,1,0,0,60,15,
545,Chris Harris,2TM,29,11,8,,1,19,0,19,5,2,0,0,0,0,40,8,
546,Clark Harris,CIN,27,16,0,,,,,,,,,,,,0,2,
547,David Harris,NYJ,27,16,16,5.0,4,55,1,35,9,,,,,,65,21,
548,Nick Harris,JAX,33,11,0,,,,,,,0,0,1,0,0,2,0,
549,Tommie Harris,SDG,28,13,1,3.0,,,,,,1,0,0,0,0,13,0,
550,James Harrison*,PIT,33,11,11,9.0,0,0,0,0,1,2,0,0,0,0,48,11,
551,Brian Hartline,MIA,25,16,10,,,,,,,,,,,,5,1,
552,Ben Hartsock,CAR,31,15,2,,,,,,,0,0,1,0,0,,,
553,Derrick Harvey,DEN,25,5,0,,,,,,,0,0,1,0,0,2,2,
554,Percy Harvin,MIN,23,16,14,,,,,,,0,2,0,0,0,1,0,
555,Matt Hasselbeck,TEN,36,16,16,,,,,,,0,4,1,0,0,1,0,
556,Jason Hatcher,DAL,29,13,10,4.5,1,16,0,16,2,1,0,0,0,0,20,8,
557,Steven Hauschka,SEA,26,16,0,,,,,,,,,,,,1,1,
558,A.J. Hawk,GNB,27,14,14,1.5,0,0,0,0,3,,,,,,53,31,
559,Andrew Hawkins,CIN,25,13,0,,,,,,,0,0,1,0,0,3,2,
560,Chris Hawkins,TEN,25,9,0,,,,,,,,,,,,11,3,
561,Lavelle Hawkins,TEN,25,16,2,,,,,,,0,1,0,0,0,2,0,
562,Joe Hawley,ATL,23,16,12,,,,,,,,,,,,1,0,
563,David Hawthorne,SEA,26,15,14,2.0,3,111,1,77,6,0,0,1,9,0,73,42,
564,Kelvin Hayden,ATL,28,8,1,,2,3,0,2,4,,,,,,16,8,
565,Nick Hayden,CIN,25,2,0,,,,,,,,,,,,2,0,
566,Jovan Haye,2TM,29,3,0,,,,,,,,,,,,2,2,
567,Geno Hayes,TAM,24,16,13,,1,8,0,8,2,2,0,0,0,0,44,19,
568,William Hayes,TEN,26,10,1,1.5,,,,,,,,,,,11,5,
569,Albert Haynesworth,2TM,30,13,6,,0,0,0,0,2,,,,,,20,3,
