
Rk,,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
275,Bilal Powell,NYJ,26,11,0,11,7,69,9.9,0,20,0.6,6.3,0
276,Dane Sanzenbacher,CIN,26,8,1,12,7,87,12.4,0,26,0.9,10.9,1
277,Anthony Sherman,KAN,26,12,4,11,7,62,8.9,1,24,0.6,5.2,0
278,Lorenzo Taliaferro,BAL,23,12,0,9,7,94,13.4,0,29,0.6,7.8,1
279,LeGarrette Blount,2TM,28,13,0,8,6,36,6.0,0,13,0.5,2.8,1
280,Michael Campanaro,BAL,23,3,0,6,6,85,14.2,1,19,2.0,28.3,0
281,Isaiah Crowell,CLE,21,12,3,10,6,61,10.2,0,19,0.5,5.1,3
282,James Develin,NWE,26,12,4,7,6,43,7.2,0,13,0.5,3.6,1
283,Ed Dickson,CAR,27,12,8,11,6,56,9.3,0,17,0.5,4.7,1
284,Anthony Dixon,BUF,27,12,0,7,6,36,6.0,0,10,0.5,3.0,0
285,Crockett Gillmore,BAL,23,12,1,9,6,53,8.8,1,13,0.5,4.4,0
286,Cory Harkey,STL,24,12,9,7,6,33,5.5,1,9,0.5,2.8,0
287,Robert Herron,TAM,22,8,0,12,6,58,9.7,1,16,0.8,7.3,0
288,Rob Housler,ARI,26,11,5,13,6,76,12.7,0,27,0.5,6.9,1
289,Josh Huff,PHI,23,8,0,14,6,48,8.0,0,12,0.8,6.0,1
290,Robert Hughes,ARI,25,12,3,8,6,94,15.7,0,49,0.5,7.8,0
291,Jerrel Jernigan,NYG,25,2,1,9,6,40,6.7,0,11,3.0,20.0,0
292,Jacoby Jones,BAL,30,12,0,15,6,85,14.2,0,31,0.5,7.1,4
293,Brian Leonhardt,OAK,24,12,3,8,6,35,5.8,1,12,0.5,2.9,0
294,Joe McKnight,KAN,26,2,0,7,6,64,10.7,2,26,3.0,32.0,0
295,Zach Miller,SEA,29,3,3,7,6,76,12.7,0,24,2.0,25.3,0
296,Tony Moeaki,SEA,27,3,0,7,6,98,16.3,1,63,2.0,32.7,0
297,Latavius Murray,OAK,23,11,0,7,6,35,5.8,0,13,0.5,3.2,1
298,Dri Archer,PIT,23,10,0,8,5,4,0.8,0,7,0.5,0.4,0
299,Joe Banyard,MIN,26,11,0,5,5,30,6.0,0,10,0.5,2.7,0
Rk,,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
300,Jackie Battle,TEN,31,12,1,5,5,28,5.6,0,12,0.4,2.3,0
301,Andre Caldwell,DEN,29,12,2,14,5,47,9.4,0,15,0.4,3.9,0
302,Chase Coffman,TEN,28,9,2,11,5,50,10.0,1,18,0.6,5.6,0
303,Bruce Ellington,SFO,23,9,0,8,5,54,10.8,1,20,0.6,6.0,1
304,Ryan Grant,WAS,24,12,2,10,5,57,11.4,0,21,0.4,4.8,0
305,Will Johnson,PIT,25,12,2,8,5,30,6.0,0,18,0.4,2.5,0
306,Greg Little,CIN,25,4,1,11,5,63,12.6,0,21,1.3,15.8,0
307,Jeff Maehl,PHI,25,7,0,5,5,46,9.2,0,15,0.7,6.6,0
308,Keshawn Martin,HOU,24,12,0,9,5,66,13.2,0,32,0.4,5.5,0
309,Robert Meachem,NOR,30,8,2,17,5,85,17.0,0,25,0.6,10.6,0
310,Kevin Norwood,SEA,25,7,1,6,5,46,9.2,0,19,0.7,6.6,0
311,Darrin Reaves,CAR,21,6,1,8,5,31,6.2,0,16,0.8,5.2,0
312,Frank Summers,BUF,29,10,6,8,5,9,1.8,0,4,0.5,0.9,0
313,Will Ta'ufo'ou,JAX,28,12,3,6,5,62,12.4,0,26,0.4,5.2,0
314,Nick Toon,NOR,26,4,1,7,5,59,11.8,1,21,1.3,14.8,0
315,Bryan Walters,SEA,27,10,0,10,5,44,8.8,0,17,0.5,4.4,0
316,DeAngelo Williams,CAR,31,6,6,6,5,44,8.8,0,30,0.8,7.3,1
317,Marquess Wilson,CHI,22,4,3,14,5,40,8.0,0,10,1.3,10.0,0
318,Danny Woodhead,SDG,29,3,0,6,5,34,6.8,0,14,1.7,11.3,0
319,James Wright,CIN,23,11,0,16,5,91,18.2,0,30,0.5,8.3,0
320,Ronnie Brown,2TM,33,7,0,5,4,35,8.8,0,24,0.6,5.0,0
321,Jed Collins,DET,28,12,2,4,4,33,8.3,1,24,0.3,2.8,0
