
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
1,Hamza Abdullah,ARI,27,6,0,,,,,,,,,,,,1,3,
2,Husain Abdullah,MIN,25,15,15,,3,5,0,5,7,,,,,,50,21,
3,John Abraham*+,ATL,32,15,13,13.0,1,6,0,6,4,1,0,0,0,0,35,5,
4,Anthony Adams,CHI,30,16,16,2.0,0,0,0,0,1,2,0,0,0,0,33,4,
5,Flozell Adams,PIT,35,16,16,,,,,,,0,0,1,0,0,1,0,
6,Jamar Adams,PHI,25,1,1,,0,0,0,0,1,,,,,,2,1,
7,Michael Adams,ARI,25,16,4,,2,36,0,36,7,0,0,1,30,1,42,10,
8,Mike Adams,CLE,29,15,2,1.0,2,51,0,26,6,,,,,,39,6,
9,Phillip Adams,SFO,22,15,0,,0,0,0,0,1,0,1,0,0,0,4,4,
10,Joseph Addai,IND,27,8,7,,,,,,,0,2,1,0,0,,,
11,Xavier Adibi,HOU,26,11,3,,,,,,,1,0,0,0,0,14,6,
12,Spencer Adkins,ATL,23,9,0,,,,,,,,,,,,0,1,
13,Al Afalava,IND,23,4,0,,,,,,,,,,,,0,1,
14,C.J. Ah You,STL,28,16,0,4.0,0,0,0,0,2,1,0,0,0,0,12,6,
15,Sam Aiken,CLE,30,3,0,,,,,,,,,,,,1,0,
16,Seyi Ajirotutu,SDG,23,10,0,,,,,,,,,,,,1,1,
17,David Akers*,PHI,36,16,0,,,,,,,,,,,,1,1,
18,Ikaika Alama-Francis,MIA,26,11,0,,,,,,,,,,,,9,2,
19,Branden Albert,KAN,26,15,15,,,,,,,0,0,1,0,0,,,
20,Eric Alexander,2TM,28,9,0,,,,,,,1,0,0,0,0,6,3,
21,Gerald Alexander,2TM,26,5,3,,0,0,0,0,3,0,0,1,43,0,10,6,
22,Kevin Alexander,DEN,23,8,0,,0,0,0,0,1,,,,,,3,1,
23,Lorenzo Alexander,WAS,27,16,12,1.5,0,0,0,0,2,2,0,1,0,0,32,25,
24,Jay Alford,OAK,27,4,0,,,,,,,,,,,,2,0,
25,Asher Allen,MIN,22,14,11,,2,27,0,27,7,,,,,,38,15,
26,Jared Allen,MIN,28,16,16,11.0,2,40,1,36,6,1,0,1,0,0,45,15,
27,Jason Allen,2TM,27,15,7,,6,18,0,17,12,,,,,,46,13,
28,Nate Allen,PHI,23,13,13,2.0,3,27,0,16,8,1,0,0,0,0,42,6,
29,Russell Allen,JAX,24,16,4,,,,,,,,,,,,31,11,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
30,Will Allen,PIT,28,14,0,,,,,,,0,0,1,0,0,11,1,
31,Colin Allred,TEN,27,5,0,,,,,,,,,,,,3,2,
32,Tyson Alualu,JAX,23,16,16,3.5,0,0,0,0,1,,,,,,29,9,
33,Ken Amato,TEN,33,16,0,,,,,,,0,1,0,-25,0,1,1,
34,Jonathon Amaya,MIA,22,10,0,,,,,,,0,1,1,0,0,0,2,
35,Danny Amendola,STL,25,16,6,,,,,,,0,2,0,0,0,1,0,
36,Colt Anderson,PHI,25,8,2,,,,,,,,,,,,16,0,
37,David Anderson,HOU,27,12,1,,,,,,,1,0,0,0,0,5,0,
38,Derek Anderson,ARI,27,12,9,,,,,,,0,6,1,0,0,,,
39,Jamaal Anderson,ATL,24,16,3,2.0,0,0,0,0,1,1,0,0,0,0,16,5,
40,James Anderson,CAR,27,16,15,3.5,1,1,0,1,5,2,0,3,2,0,101,29,
41,Mark Anderson,2TM,27,15,3,4.0,0,0,0,0,2,,,,,,24,5,
42,Vince Anderson,TAM,26,3,0,,,,,,,,,,,,0,1,
43,Shawn Andrews,NYG,28,13,7,,,,,,,,,,,,1,0,
44,Stacy Andrews,SEA,29,13,12,,,,,,,0,0,1,-2,0,1,0,
45,Pat Angerer,IND,23,16,11,1.0,0,0,0,0,2,1,0,0,0,0,50,30,
46,Antwan Applewhite,SDG,26,16,13,3.0,0,0,0,0,2,2,0,0,0,0,37,11,
47,Javier Arenas,KAN,23,16,2,3.0,0,0,0,0,7,1,2,0,0,0,33,7,
48,Anthony Armstrong,WAS,27,15,11,,,,,,,0,1,1,0,0,7,2,
49,Stanley Arnoux,NOR,24,9,0,,,,,,,1,0,0,0,0,0,2,
50,Kyle Arrington,NWE,24,16,14,,1,36,1,36,5,,,,,,60,11,
51,Larry Asante,TAM,22,2,0,,1,4,0,4,1,,,,,,1,0,
52,K.C. Asiodu,NOR,24,1,0,,,,,,,,,,,,1,0,
53,Nnamdi Asomugha*+,OAK,29,14,14,,0,0,0,0,6,,,,,,17,2,
54,Geno Atkins,CIN,22,16,1,3.0,0,0,0,0,1,,,,,,10,6,
55,O.J. Atogwe,STL,29,16,15,2.0,3,53,0,34,9,2,0,0,0,0,64,9,
56,Miles Austin*,DAL,26,16,16,,,,,,,0,1,1,0,0,6,0,
57,Terrence Austin,WAS,22,5,0,,,,,,,,,,,,1,1,
58,Jason Avant,PHI,27,16,3,,,,,,,0,0,1,0,0,4,0,
59,Cliff Avril,DET,24,13,13,8.5,0,0,0,0,5,1,0,1,10,0,23,10,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
60,Brendon Ayanbadejo,BAL,34,10,0,,,,,,,1,0,0,0,0,2,1,
61,Robert Ayers,DEN,25,11,10,1.5,0,0,0,0,1,1,0,0,0,0,32,7,
62,Akin Ayodele,BUF,31,15,10,,0,0,0,0,3,,,,,,60,46,
63,Remi Ayodele,NOR,27,16,16,1.0,0,0,0,0,1,1,0,0,0,0,21,16,
64,David Baas,SFO,29,16,16,,,,,,,0,2,0,-24,0,4,0,
65,Jason Babin*,TEN,30,16,16,12.5,,,,,,2,0,0,0,0,44,14,
66,Jonathan Babineaux,ATL,29,15,15,4.0,1,0,0,0,2,2,0,1,0,1,19,8,
67,Jordan Babineaux,SEA,28,16,0,1.5,2,37,0,20,8,1,0,0,0,0,37,9,1
68,Jeff Backus,DET,33,16,16,,,,,,,0,0,1,0,0,2,0,
69,Champ Bailey*,DEN,32,15,15,1.0,2,0,0,0,13,,,,,,41,4,
70,Patrick Bailey,TEN,25,16,0,,,,,,,,,,,,11,5,
71,Billy Bajema,STL,28,13,8,,,,,,,0,1,1,0,0,,,
72,Jason Baker,CAR,32,16,0,,,,,,,,,,,,3,0,
73,Ryan Baker,MIA,26,9,0,,,,,,,,,,,,3,1,
74,Sam Baker,ATL,25,16,16,,,,,,,,,,,,1,0,
75,Alan Ball,DAL,25,16,16,0.5,2,27,0,27,4,1,0,0,0,0,41,5,
76,Dave Ball,TEN,29,11,11,7.0,0,0,0,0,3,0,0,1,5,0,20,10,
77,Lance Ball,DEN,25,10,0,,,,,,,1,1,1,0,0,2,0,
78,Kentwan Balmer,SEA,24,16,11,,0,0,0,0,1,,,,,,28,15,
79,Brandon Banks,WAS,23,13,0,,,,,,,0,2,2,0,0,,,
80,Justin Bannan,DEN,31,16,16,1.0,0,0,0,0,4,1,0,0,0,0,25,10,
81,Tully Banta-Cain,NWE,30,15,6,5.0,,,,,,1,0,0,0,0,36,9,
82,Dominique Barber,HOU,24,8,1,,,,,,,,,,,,1,1,
83,Ronde Barber,TAM,35,16,16,1.0,3,98,0,64,13,,,,,,66,16,
84,Antwan Barnes,2TM,26,13,0,4.5,0,0,0,0,1,,,,,,20,5,
85,Kevin Barnes,WAS,24,10,2,,1,8,0,8,5,,,,,,14,2,
86,Nick Barnett,GNB,29,4,4,,0,0,0,0,1,,,,,,19,5,
87,Ronald Bartell,STL,28,15,13,,0,0,0,0,10,1,0,0,0,0,55,6,
88,Eric Barton,CLE,33,16,12,,0,0,0,0,1,0,0,1,1,0,47,19,
89,Hank Baskett,2TM,28,8,0,,,,,,,,,,,,3,0,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
90,Charlie Batch,PIT,36,3,2,,,,,,,0,2,1,-3,0,,,
91,Jackie Bates,KAN,24,2,1,,0,0,0,0,1,,,,,,1,0,
92,D'Anthony Batiste,2TM,29,6,0,,,,,,,,,,,,1,0,
93,Arnaz Battle,PIT,30,15,0,,,,,,,,,,,,7,2,
94,Jackie Battle,KAN,27,16,0,,,,,,,1,0,0,0,0,8,3,
95,Jon Beason*,CAR,25,16,16,1.0,1,7,0,7,8,2,0,0,0,0,90,31,
96,Travis Beckum,NYG,23,16,2,,,,,,,1,0,0,0,0,1,1,
97,Darry Beckwith,SDG,23,1,0,,,,,,,,,,,,0,1,
98,Jovan Belcher,KAN,23,16,15,1.0,0,0,0,0,2,1,0,0,0,0,53,31,
99,Demetress Bell,BUF,26,16,16,,,,,,,,,,,,1,0,
100,Jacob Bell,STL,29,16,16,,,,,,,0,0,1,0,0,,,
101,Mike Bell,2TM,27,16,1,,,,,,,0,2,2,0,0,,,
102,Yeremiah Bell,MIA,32,16,16,1.5,1,21,0,21,5,2,0,1,4,0,83,18,
103,Marcus Benard,CLE,25,15,2,7.5,0,0,0,0,2,,,,,,18,10,
104,Arrelious Benn,TAM,22,15,9,,,,,,,0,1,0,0,0,1,1,
105,Earl Bennett,CHI,23,14,3,,,,,,,0,1,1,0,0,2,0,
106,Fred Bennett,2TM,27,9,0,,,,,,,,,,,,2,0,
107,Martellus Bennett,DAL,23,16,11,,,,,,,0,1,1,5,0,1,0,
108,Michael Bennett,OAK,32,7,0,,,,,,,,,,,,8,0,
109,Michael Bennett,TAM,25,13,2,1.0,0,0,0,0,1,,,,,,13,2,
110,Cedric Benson,CIN,28,16,16,,,,,,,0,7,1,0,0,,,
111,Kevin Bentley,HOU,31,13,8,,1,18,0,18,1,0,0,1,8,0,35,20,
112,Joe Berger,MIA,28,15,14,,,,,,,,,,,,4,0,
