
113,Mackenzy Bernadeau,CAR,24,16,12,,,,,,,,,,,,3,0,
114,Rocky Bernard,NYG,31,14,0,2.0,0,0,0,0,4,,,,,,16,2,
115,Bernard Berrian,MIN,30,14,9,,,,,,,0,2,2,0,0,2,0,
116,Aaron Berry,DET,22,1,1,,1,23,0,23,1,,,,,,3,0,
117,Eric Berry*,KAN,22,16,16,2.0,4,102,1,54,10,1,0,0,0,0,72,15,
118,Davone Bess,MIA,25,16,8,,,,,,,0,3,1,0,0,3,1,
119,Jahvid Best,DET,21,16,9,,,,,,,0,1,2,0,0,1,0,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
120,Antoine Bethea,IND,26,16,16,0.5,1,31,0,31,5,1,0,0,0,0,77,29,
121,Ladell Betts,NOR,31,8,1,,,,,,,0,1,0,0,0,1,0,
122,Josh Bidwell,WAS,34,4,0,,,,,,,0,1,1,-12,0,,,
123,Kroy Biermann,ATL,25,16,14,3.0,1,31,1,31,2,,,,,,23,6,
124,Atari Bigby,GNB,29,4,0,,,,,,,0,0,1,0,0,6,0,
125,E.J. Biggers,TAM,23,16,6,,1,0,0,0,11,,,,,,44,7,
126,Matt Birk,BAL,34,16,16,,,,,,,0,0,1,0,0,3,0,
127,Rob Bironas,TEN,32,16,0,,,,,,,,,,,,1,1,
128,Desmond Bishop,GNB,26,15,12,3.0,1,32,1,32,8,2,0,0,0,0,75,28,
129,Jordan Black,JAX,30,15,9,,,,,,,,,,,,2,0,
130,Quincy Black,TAM,26,11,10,2.0,1,4,0,4,3,1,0,1,1,0,54,7,
131,Chase Blackburn,NYG,27,14,0,,,,,,,0,0,2,0,0,16,4,
132,Will Blackmon,NYG,26,5,0,,,,,,,0,2,0,0,0,1,1,
133,H.B. Blades,WAS,26,16,1,,,,,,,,,,,,11,7,
134,Justin Blalock,ATL,27,16,16,,,,,,,,,,,,1,0,
135,LeGarrette Blount,TAM,24,13,7,,,,,,,0,4,0,0,0,1,0,
136,Anquan Boldin,BAL,30,16,16,,,,,,,0,1,0,0,0,4,0,
137,Michael Boley,NYG,28,16,15,1.0,0,0,0,0,1,1,0,0,0,0,64,22,
138,Lorenzo Booker,MIN,26,4,0,,,,,,,0,1,0,0,0,1,0,
139,Kevin Boss,NYG,26,15,13,,,,,,,0,1,0,0,0,1,0,
140,Dwayne Bowe*,KAN,26,16,16,,,,,,,0,1,1,0,0,1,0,
141,Alvin Bowen,JAX,27,2,0,,,,,,,,,,,,0,1,
142,Stephen Bowen,DAL,26,16,9,1.5,0,0,0,0,1,,,,,,16,6,
143,David Bowens,CLE,33,15,4,0.5,2,94,2,64,6,,,,,,26,14,
144,NaVorro Bowman,SFO,22,16,1,,,,,,,,,,,,38,8,
145,Zackary Bowman,CHI,26,13,3,,,,,,,1,0,1,0,0,28,4,
146,Ron Brace,NWE,24,13,5,,,,,,,,,,,,15,8,
147,Tyron Brackenridge,JAX,26,16,0,,,,,,,1,0,0,0,0,14,2,
148,Gary Brackett,IND,30,12,12,0.5,0,0,0,0,3,,,,,,52,22,
149,Sam Bradford,STL,23,16,16,,,,,,,0,7,3,-2,0,2,0,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
150,Stewart Bradley,PHI,27,12,12,1.0,1,0,0,0,7,,,,,,49,11,
151,Ahmad Bradshaw,NYG,24,16,11,,,,,,,1,7,0,0,0,9,0,
152,Tom Brady*+,NWE,33,16,16,,,,,,,0,3,1,-5,0,,,
153,Alan Branch,ARI,26,16,3,2.0,0,0,0,0,1,2,0,0,0,0,27,8,
154,Deion Branch,2TM,31,15,12,,,,,,,0,1,0,0,0,1,0,
155,Tyvon Branch,OAK,24,16,16,4.0,1,15,0,15,2,1,0,2,76,1,78,23,
156,Tyler Brayton,CAR,31,15,14,,0,0,0,0,2,1,0,2,1,0,16,6,
157,Steve Breaston,ARI,27,13,11,,,,,,,1,0,2,0,1,2,0,
158,Drew Brees*,NOR,31,16,16,,,,,,,0,9,5,0,0,1,0,
159,Josh Brent,DAL,22,16,0,,,,,,,,,,,,14,2,
160,Diyral Briggs,3TM,25,7,0,,,,,,,,,,,,4,0,
161,Lance Briggs*,CHI,30,15,15,2.0,2,1,0,1,7,1,0,1,0,0,76,13,
162,Jasper Brinkley,MIN,25,16,0,,,,,,,,,,,,3,2,
163,Kenny Britt,TEN,22,12,7,,,,,,,0,1,0,0,0,2,0,
164,Raheem Brock,SEA,32,16,0,9.0,0,0,0,0,3,1,0,1,0,0,26,6,
165,Tramaine Brock,SFO,22,3,0,,,,,,,,,,,,3,1,
166,Keith Brooking,DAL,35,16,16,1.0,1,41,0,41,7,,,,,,73,24,
167,Ahmad Brooks,SFO,26,15,1,5.0,1,32,0,32,2,,,,,,29,2,
168,Alex Brown,NOR,31,16,16,2.0,0,0,0,0,3,1,0,1,0,0,32,7,
169,Antonio Brown,PIT,22,9,0,,,,,,,0,1,0,0,0,3,0,
170,C.C. Brown,DET,27,15,8,,0,0,0,0,4,1,0,0,0,0,37,9,
171,Charles Brown,NOR,23,3,0,,,,,,,,,,,,1,0,
172,Cornelius Brown,IND,22,10,0,,0,0,0,0,2,,,,,,12,5,
173,Donald Brown,IND,23,13,8,,,,,,,,,,,,1,0,
174,Duane Brown,HOU,25,12,12,,,,,,,,,,,,1,0,
175,Everette Brown,CAR,23,13,2,3.5,1,0,0,0,1,1,0,0,0,0,20,5,
176,Jason Brown,STL,27,16,16,,,,,,,,,,,,1,0,
177,Josh Brown,STL,31,16,0,,,,,,,0,1,0,0,0,2,0,
178,Kris Brown,2TM,34,16,0,,,,,,,,,,,,1,0,
179,Levi Brown,ARI,26,16,16,,,,,,,0,0,3,-1,1,3,0,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
180,Ricky Brown,OAK,27,14,1,,0,0,0,0,1,1,0,2,0,0,8,5,
181,Ronnie Brown,MIA,29,16,16,,,,,,,0,3,0,0,0,4,0,
182,Sergio Brown,NWE,22,11,0,,,,,,,0,0,1,0,0,9,2,
183,Sheldon Brown,CLE,31,16,16,,2,0,0,0,10,,,,,,51,12,
184,Stevie Brown,OAK,23,15,1,,0,0,0,0,2,,,,,,12,5,
185,Tarell Brown,SFO,25,15,0,,1,62,1,62,5,,,,,,36,3,
186,Titus Brown,CLE,24,13,0,,,,,,,,,,,,4,5,
187,Tony Brown,TEN,30,11,11,3.5,0,0,0,0,1,,,,,,14,8,
188,David Bruton,DEN,23,16,2,,0,0,0,0,1,0,0,2,0,0,12,4,
189,Chris Bryan,TAM,28,4,0,,,,,,,,,,,,1,0,
190,Anthony Bryant,WAS,29,6,3,,,,,,,,,,,,2,6,
191,Desmond Bryant,OAK,25,15,0,2.5,,,,,,,,,,,15,6,
192,Dez Bryant,DAL,22,12,2,,,,,,,1,2,1,0,0,1,0,
193,Red Bryant,SEA,26,7,7,1.0,,,,,,1,0,2,0,0,16,2,
194,Phillip Buchanon,WAS,30,16,5,,2,51,0,43,18,2,1,1,0,0,41,8,
195,Eldra Buckley,PHI,25,16,0,,,,,,,1,1,0,0,0,6,0,
196,David Buehler,DAL,23,16,0,,,,,,,,,,,,0,2,
197,Bryan Bulaga,GNB,21,16,12,,,,,,,,,,,,2,0,
198,Melvin Bullitt,IND,26,4,3,,1,19,0,19,1,,,,,,10,3,
199,Josh Bullocks,CHI,27,16,0,,,,,,,,,,,,8,3,
200,Keith Bulluck,NYG,33,13,8,,2,7,0,6,2,0,0,1,10,0,21,10,
201,Brodrick Bunkley,PHI,27,14,5,,0,0,0,0,1,,,,,,17,3,
202,Prescott Burgess,BAL,26,16,0,,0,0,0,0,1,,,,,,12,2,
203,Nate Burleson,DET,29,14,14,,,,,,,0,2,0,0,0,2,0,
204,Kevin Burnett,SDG,28,16,16,6.0,2,31,1,29,5,1,0,1,0,0,80,15,
205,Morgan Burnett,GNB,21,4,4,,1,0,0,0,1,,,,,,12,2,
206,Jarrett Bush,GNB,26,16,1,,0,0,0,0,1,1,0,1,0,0,19,2,
207,Michael Bush,OAK,26,14,3,,,,,,,0,0,1,0,0,,,
208,Reggie Bush,NOR,25,8,6,,,,,,,0,2,2,0,0,,,
209,Jermon Bushrod,NOR,26,16,16,,,,,,,,,,,,1,0,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
210,Darius Butler,NWE,24,15,3,,0,0,0,0,6,0,0,1,0,0,22,1,
211,Deon Butler,SEA,24,13,8,,,,,,,,,,,,1,0,
212,James Butler,STL,28,14,4,,2,13,0,16,3,1,0,1,49,0,18,2,
213,Quincy Butler,STL,29,6,1,,0,0,0,0,4,,,,,,9,3,
214,Rashad Butler,HOU,27,16,4,,,,,,,0,0,1,0,0,,,
215,Victor Butler,DAL,23,15,0,2.0,,,,,,1,0,0,0,0,13,5,
216,Nate Byham,SFO,22,14,3,,,,,,,,,,,,1,0,
217,Jairus Byrd,BUF,24,16,14,1.0,1,37,1,37,2,3,0,2,0,0,61,27,
218,Andre Caldwell,CIN,25,15,5,,,,,,,0,1,0,0,0,2,0,
219,Duke Calhoun,NYG,23,9,0,,,,,,,0,0,1,0,0,5,2,
220,Jorrick Calvin,PHI,23,12,0,,,,,,,0,2,1,0,0,,,
221,Greg Camarillo,MIN,28,16,1,,,,,,,1,0,0,0,0,4,0,
222,Calais Campbell,ARI,24,15,15,6.0,0,0,0,0,2,0,0,1,0,0,46,14,
223,Caleb Campbell,DET,26,3,0,,,,,,,,,,,,0,1,
224,Jason Campbell,OAK,29,13,12,,,,,,,0,9,5,-15,0,,,
225,Chris Canty,NYG,28,16,16,1.5,0,0,0,0,3,1,0,0,0,0,27,11,
226,Don Carey,JAX,23,15,10,,1,7,0,7,1,,,,,,40,15,
227,Cooper Carlisle,OAK,33,16,16,,,,,,,0,0,1,0,0,,,
228,John Carlson,SEA,26,15,13,,,,,,,,,,,,2,0,
229,Bobby Carpenter,2TM,27,15,4,,0,0,0,0,2,,,,,,30,10,
230,Dan Carpenter,MIA,25,16,0,,,,,,,,,,,,0,2,
231,Brandon Carr,KAN,24,16,16,,1,0,0,0,23,0,0,2,23,0,46,11,
232,Chris Carr,BAL,27,16,16,,2,13,0,12,8,3,0,0,0,0,54,7,
233,Adam Carriker,WAS,26,16,16,1.5,0,0,0,0,1,0,0,1,0,0,22,15,
234,Alex Carrington,BUF,23,9,0,1.0,0,0,0,0,1,,,,,,6,2,
235,Nolan Carroll,MIA,23,13,1,,1,1,0,1,2,,,,,,1,0,
236,Andre Carter,WAS,31,16,5,2.5,0,0,0,0,1,1,0,1,0,0,25,19,
237,Tony Carter,NWE,24,2,0,,,,,,,,,,,,1,0,
238,Tyrone Carter,SDG,34,7,0,,,,,,,,,,,,11,1,
239,Rock Cartwright,OAK,31,16,0,,,,,,,1,0,1,0,0,15,2,1
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
240,James Casey,HOU,26,16,4,,,,,,,,,,,,0,7,
241,Antoine Cason,SDG,24,16,15,,4,51,0,28,17,1,0,0,0,0,57,10,
242,Tim Castille,KAN,26,10,4,,,,,,,,,,,,2,0,
243,Luis Castillo,SDG,27,16,16,2.5,,,,,,0,0,1,0,0,18,8,
244,Brent Celek,PHI,25,16,15,,,,,,,,,,,,1,0,
245,Jacques Cesaire,SDG,30,16,16,1.5,,,,,,,,,,,23,8,
246,Chris Chamberlain,STL,25,11,6,,0,0,0,0,2,1,0,0,0,0,15,4,
247,Chris Chambers,KAN,32,13,7,,,,,,,,,,,,1,0,
248,Kam Chancellor,SEA,22,16,0,1.0,0,0,0,0,1,1,0,0,0,0,10,6,
249,Scott Chandler,2TM,25,13,1,,,,,,,,,,,,4,0,
250,Jamar Chaney,PHI,24,14,2,,0,0,0,0,1,1,0,0,0,0,27,9,
251,Jamaal Charles*+,KAN,24,16,6,,,,,,,0,3,3,0,0,1,0,
252,Jeff Charleston,NOR,27,16,1,3.0,0,0,0,0,2,2,0,1,0,0,19,7,
253,Chris Chester,BAL,27,14,14,,,,,,,0,0,1,0,0,1,0,
254,Brandon Chillar,GNB,28,8,1,1.0,1,9,0,9,1,,,,,,13,3,
255,Patrick Chung,NWE,23,14,13,,3,96,1,51,9,,,,,,67,24,
256,Barry Church,DAL,22,15,0,,,,,,,1,0,0,0,0,10,5,
257,Vinny Ciurciu,DET,30,10,0,,,,,,,,,,,,6,4,
258,Tyson Clabo*,ATL,29,16,16,,,,,,,0,0,1,0,0,,,
259,Ryan Clady,DEN,24,16,16,,,,,,,,,,,,1,0,
260,Brian Clark,DET,27,4,0,,,,,,,,,,,,3,0,
261,Dallas Clark,IND,31,6,6,,,,,,,,,,,,0,1,
262,Danny Clark,NOR,33,14,10,,0,0,0,0,1,1,0,0,0,0,47,12,
263,Desmond Clark,CHI,33,5,0,,,,,,,,,,,,1,0,
264,Jeremy Clark,3TM,27,3,1,,,,,,,,,,,,3,0,
265,Ryan Clark,PIT,31,16,15,,2,34,0,23,7,0,0,1,5,0,57,33,
266,Jeromey Clary,SDG,27,16,16,,,,,,,,,,,,1,0,
267,Jimmy Clausen,CAR,23,13,10,,,,,,,0,9,3,-28,0,1,0,
268,Keenan Clayton,PHI,23,7,1,,0,0,0,0,1,,,,,,4,3,
269,Nate Clements,SFO,31,16,16,1.0,3,46,0,39,10,3,1,0,0,0,72,10,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
270,Chris Clemons,SEA,29,16,16,11.0,0,0,0,0,4,1,0,1,0,0,33,16,
271,Chris Clemons,MIA,25,15,14,1.5,1,0,0,0,5,2,0,1,0,0,51,10,
272,Chad Clifton*,GNB,34,16,16,,,,,,,,,,,,1,0,
273,Colin Cloherty,SFO,23,2,0,,,,,,,,,,,,1,2,
274,Daniel Coats,2TM,26,10,0,,,,,,,,,,,,3,0,
275,Patrick Cobbs,MIA,27,16,1,,,,,,,0,1,0,0,0,7,0,
276,Shaun Cody,HOU,27,16,16,,,,,,,,,,,,21,17,
277,Terrence Cody,BAL,22,13,1,,,,,,,,,,,,5,8,
278,Michael Coe,2TM,27,6,0,,,,,,,,,,,,4,2,
279,Chase Coffman,CIN,24,6,0,,,,,,,,,,,,1,0,
280,Barry Cofield,NYG,26,16,16,4.0,0,0,0,0,4,2,0,1,0,0,39,15,
281,Landon Cohen,2TM,25,4,1,,,,,,,,,,,,4,1,
282,Colin Cole,SEA,30,11,11,1.0,0,0,0,0,5,,,,,,36,8,
283,Marquice Cole,NYJ,27,12,1,,2,49,1,35,5,0,1,1,0,0,20,2,
284,Nick Cole,PHI,26,13,7,,,,,,,,,,,,1,0,
285,Trent Cole,PHI,28,15,15,10.0,0,0,0,0,2,1,0,0,0,0,50,15,
286,Antonio Coleman,BUF,24,8,0,,,,,,,,,,,,5,5,
287,Drew Coleman,NYJ,27,16,4,4.0,1,0,0,0,4,5,0,0,0,0,37,4,
288,Erik Coleman,ATL,28,12,1,,,,,,,,,,,,15,5,
289,Kenyon Coleman,CLE,31,16,14,2.5,,,,,,0,0,3,0,0,50,18,
290,Kurt Coleman,PHI,22,15,2,,1,7,0,7,2,,,,,,22,5,
291,Daryn Colledge,GNB,29,16,16,,,,,,,,,,,,1,0,
292,Kerry Collins,TEN,38,10,7,,,,,,,0,5,1,-8,0,1,0,
