
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
1,Isa Abdul-Quddus,DET,26,12,4,,0,0,0,0,2,,,,,,18,10,
2,Husain Abdullah,KAN,29,12,12,,1,39,1,39,7,,,,,,46,9,
3,Emmanuel Acho,PHI,24,10,2,,,,,,,,,,,,15,2,
4,Sam Acho,ARI,26,12,2,,1,3,0,3,3,,,,,,19,7,
5,Davante Adams,GNB,22,12,7,,,,,,,,,,,,1,0,
6,Mike Adams,PIT,24,12,2,,,,,,,,,,,,1,0,
7,Mike Adams,IND,33,12,12,,4,24,0,10,10,1,0,2,0,0,54,12,
8,Phillip Adams,NYJ,26,9,3,,1,0,0,0,3,,,,,,12,3,
9,Jahleel Addae,SDG,24,7,4,1.0,,,,,,0,0,1,0,0,16,7,
10,Mario Addison,CAR,27,12,0,5.0,,,,,,0,0,2,0,0,8,11,
11,Kamar Aiken,BAL,25,12,0,,,,,,,,,,,,0,1,
12,Walt Aikens,MIA,23,12,0,,1,43,0,43,1,,,,,,11,1,
13,Seyi Ajirotutu,SDG,27,12,0,,,,,,,,,,,,10,2,
14,Branden Albert,MIA,30,9,9,,,,,,,,,,,,1,0,
15,Lorenzo Alexander,ARI,31,12,0,1.0,,,,,,,,,,,9,2,
16,Maurice Alexander,STL,23,5,0,,,,,,,,,,,,2,0,
17,Robert Alford,ATL,26,10,10,,3,21,0,21,11,,,,,,24,7,
18,Antonio Allen,NYJ,26,12,8,,0,0,0,0,6,1,0,0,0,0,33,4,
19,Beau Allen,PHI,23,12,0,0.5,,,,,,,,,,,7,2,
20,Cortez Allen,PIT,26,11,8,,2,27,0,27,11,0,0,1,0,0,36,5,
21,Dwayne Allen,IND,24,10,10,,,,,,,1,1,1,0,0,2,1,
22,Jared Allen,CHI,32,12,12,5.0,0,0,0,0,1,2,0,1,0,0,30,18,
23,Keenan Allen,SDG,22,12,12,,,,,,,0,2,0,0,0,4,0,
24,Nate Allen,PHI,27,11,11,1.0,2,4,0,3,3,1,0,3,25,0,38,9,
25,Ryan Allen,NWE,24,12,0,,,,,,,0,0,1,0,0,,,
26,Will Allen,PIT,32,12,2,,,,,,,,,,,,10,9,
27,Tyson Alualu,JAX,27,12,0,1.0,,,,,,,,,,,10,11,
28,David Amerson,WAS,23,11,11,,0,0,0,0,4,,,,,,39,4,
29,Prince Amukamara,NYG,25,8,8,,3,66,0,38,11,,,,,,37,8,
