
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
30,C.J. Anderson,DEN,23,11,3,,,,,,,,,,,,1,0,
31,Colt Anderson,IND,29,11,0,,,,,,,0,0,1,0,0,8,2,
32,Derek Anderson,CAR,31,4,1,,,,,,,0,1,1,-3,0,,,
33,James Anderson,2TM,31,12,0,,,,,,,,,,,,5,1,
34,Jason Ankrah,HOU,23,1,0,,,,,,,,,,,,1,0,
35,Ezekiel Ansah,DET,25,12,12,6.5,,,,,,3,0,0,0,0,29,11,
36,Ray Ray Armstrong,2TM,25,11,0,,,,,,,,,,,,6,0,
37,Kyle Arrington,NWE,28,12,3,1.0,0,0,0,0,4,2,0,1,9,1,29,6,
38,Jon Asamoah,ATL,26,12,12,,,,,,,,,,,,1,0,
39,Larry Asante,OAK,26,5,2,,,,,,,1,0,0,0,0,21,4,
40,Matt Asiata,MIN,27,11,5,,,,,,,0,1,1,0,0,1,0,
41,Geno Atkins,CIN,26,12,12,2.0,0,0,0,0,1,1,0,0,0,0,16,8,1
42,Jeremiah Attaochu,SDG,21,7,0,2.0,,,,,,1,0,0,0,0,7,1,
43,Marvin Austin,DEN,25,11,0,,,,,,,,,,,,7,2,
44,Miles Austin,CLE,30,12,11,,,,,,,,,,,,2,0,
45,Tavon Austin,STL,23,11,5,,,,,,,0,4,3,0,0,,,
46,Denico Autry,OAK,24,6,0,,,,,,,,,,,,5,3,
47,Jason Avant,2TM,31,12,0,,,,,,,,,,,,1,0,
48,Donnie Avery,KAN,30,5,3,,,,,,,0,1,0,0,0,2,0,
49,Cliff Avril,SEA,28,12,12,5.0,0,0,0,0,1,1,0,1,0,0,13,4,
50,Akeem Ayers,2TM,25,7,3,3.0,,,,,,,,,,,12,5,
51,Robert Ayers,NYG,29,12,1,5.0,0,0,0,0,1,1,0,0,0,0,18,4,
52,Jason Babin,NYJ,34,12,2,2.0,,,,,,,,,,,7,8,
53,Jonathan Babineaux,ATL,33,11,11,1.0,,,,,,,,,,,11,9,
54,Johnson Bademosi,CLE,24,10,0,,,,,,,,,,,,3,4,
55,Allen Bailey,KAN,25,12,12,4.0,0,0,0,0,1,,,,,,23,14,
56,Alvin Bailey,SEA,23,10,4,,,,,,,0,0,1,0,0,,,
57,Dan Bailey,DAL,26,13,0,,,,,,,,,,,,2,0,
58,Stedman Bailey,STL,24,10,2,,,,,,,1,0,0,0,0,3,0,
59,Brandon Bair,PHI,30,12,0,1.5,0,0,0,0,1,,,,,,11,3,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
60,Chris Baker,WAS,27,11,8,,,,,,,,,,,,16,10,
61,Doug Baldwin,SEA,26,12,12,,,,,,,,,,,,1,0,
62,Alan Ball,JAX,29,7,7,,1,0,0,0,3,,,,,,18,4,
63,Marcus Ball,NOR,27,8,2,,,,,,,0,0,1,0,0,6,4,
64,Johnthan Banks,TAM,25,11,10,,4,69,1,32,8,,,,,,30,5,
65,Joe Banyard,MIN,26,11,0,,,,,,,,,,,,1,0,
66,Allen Barbre,PHI,30,1,1,,,,,,,,,,,,1,0,
67,Antwan Barnes,NYJ,30,5,0,,,,,,,,,,,,5,1,
68,Khalif Barnes,OAK,32,10,9,,,,,,,0,1,0,0,0,2,0,
69,T.J. Barnes,NYJ,24,4,0,,,,,,,,,,,,1,0,
70,Gary Barnidge,CLE,29,12,2,,,,,,,,,,,,1,1,
71,Anthony Barr,MIN,22,12,12,4.0,0,0,0,0,3,2,0,3,27,1,55,15,
72,Sam Barrington,GNB,24,10,3,1.0,0,0,0,0,1,,,,,,18,6,
73,Mark Barron,2TM,25,12,8,1.0,0,0,0,0,4,0,1,1,8,0,45,14,
74,Lamin Barrow,DEN,24,12,1,,,,,,,,,,,,3,3,
75,Joplo Bartu,ATL,24,12,9,,,,,,,0,0,2,0,0,37,28,
76,Connor Barwin,PHI,28,12,12,12.5,0,0,0,0,5,2,0,0,0,0,34,9,
77,David Bass,CHI,24,5,0,1.0,,,,,,1,0,0,0,0,1,2,
78,Daren Bates,STL,24,10,0,,,,,,,,,,,,3,1,
79,Jackie Battle,TEN,31,12,1,,,,,,,,,,,,3,1,
80,Alex Bayer,STL,24,6,0,,,,,,,0,0,1,0,0,,,
81,Kelvin Beachum,PIT,25,12,12,,,,,,,,,,,,1,0,
82,Zane Beadles,JAX,28,12,12,,,,,,,,,,,,1,0,
83,Jon Beason,NYG,29,4,4,,0,0,0,0,1,,,,,,6,5,
84,Will Beatty,NYG,29,12,12,,,,,,,,,,,,4,0,
85,Steve Beauharnais,WAS,24,1,0,,,,,,,,,,,,1,2,
86,Odell Beckham,NYG,22,8,7,,,,,,,,,,,,2,0,
87,Byron Bell,CAR,25,11,11,,,,,,,,,,,,1,0,
88,Joique Bell,DET,28,11,5,,,,,,,0,3,2,0,0,2,0,
89,Le'Veon Bell,PIT,22,12,12,,,,,,,,,,,,3,0,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
90,Nick Bellore,NYJ,25,12,0,,,,,,,,,,,,4,4,
91,Marcus Benard,ARI,29,8,0,1.0,,,,,,,,,,,6,0,
92,Kelvin Benjamin,CAR,23,12,11,,,,,,,0,1,0,0,0,2,0,
93,Travis Benjamin,CLE,25,12,0,,,,,,,0,2,1,0,0,,,
94,Martellus Bennett,CHI,27,13,12,,,,,,,,,,,,1,0,
95,Michael Bennett,SEA,29,12,12,5.0,,,,,,1,0,0,0,0,18,10,
96,Bene Benwikere,CAR,23,6,2,,0,0,0,0,2,1,0,1,6,0,9,3,
97,Joe Berger,MIN,32,12,5,,,,,,,,,,,,1,0,
98,Nat Berhe,NYG,23,12,0,,,,,,,,,,,,8,2,
99,Giovani Bernard,CIN,23,9,8,,,,,,,1,0,0,0,0,2,0,
100,Eric Berry,KAN,26,6,5,,0,0,0,0,2,,,,,,32,5,
101,Antoine Bethea,SFO,30,12,12,1.0,3,22,0,22,8,1,0,0,0,0,50,13,
102,Justin Bethel,ARI,24,12,0,,,,,,,,,,,,14,1,
103,Kroy Biermann,ATL,29,12,12,2.5,0,0,0,0,3,,,,,,37,24,
104,E.J. Biggers,WAS,27,11,2,,0,0,0,0,4,,,,,,19,3,
105,Christo Bilukidi,BAL,25,4,0,,,,,,,,,,,,0,3,
106,Ken Bishop,DAL,24,3,0,,,,,,,,,,,,2,0,
107,Joel Bitonio,CLE,23,12,12,,,,,,,,,,,,2,0,
108,Chase Blackburn,CAR,31,6,2,,,,,,,1,0,0,0,0,8,4,
109,Will Blackmon,JAX,30,8,4,1.0,,,,,,1,0,0,0,0,23,7,
110,Antwon Blake,PIT,24,12,1,,1,0,0,0,3,,,,,,14,3,
111,Robert Blanton,MIN,25,12,12,,1,1,0,1,3,0,0,1,0,0,57,26,
112,Alfred Blue,HOU,23,12,3,,,,,,,0,0,2,0,0,2,1,
113,Russell Bodine,CIN,22,12,12,,,,,,,,,,,,0,1,
114,Tommy Bohanon,NYJ,24,4,2,,,,,,,,,,,,1,0,
115,Brandon Bolden,NWE,24,12,1,,,,,,,1,0,0,0,0,3,2,
116,Omar Bolden,DEN,26,11,0,,,,,,,0,0,1,0,0,13,3,
117,Anquan Boldin,SFO,34,12,12,,,,,,,,,,,,2,0,
118,Clint Boling,CIN,25,12,12,,,,,,,,,,,,2,0,
119,Kevin Boothe,OAK,31,5,0,,,,,,,0,0,1,0,0,,,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
120,Chris Borland,SFO,23,12,6,1.0,2,12,0,12,5,0,0,1,0,0,69,18,
121,Blake Bortles,JAX,23,10,9,,,,,,,0,5,3,-6,0,2,0,
122,Matthew Bosher,ATL,27,12,0,,,,,,,,,,,,3,0,
123,Jonathan Bostic,CHI,23,10,5,,0,0,0,0,3,,,,,,40,19,
124,Brandon Bostick,GNB,25,9,0,,,,,,,,,,,,1,0,
125,Tre Boston,CAR,22,7,1,,,,,,,,,,,,9,5,
126,A.J. Bouye,HOU,23,10,4,,2,118,1,67,6,,,,,,40,7,
127,Luke Bowanko,JAX,23,12,10,,,,,,,0,0,1,0,0,1,0,
128,Dwayne Bowe,KAN,30,11,11,,,,,,,0,1,1,0,0,,,
129,Stephen Bowen,WAS,30,4,0,,,,,,,,,,,,4,0,
130,Da'Quan Bowers,TAM,24,7,2,1.5,,,,,,0,0,1,0,0,3,6,
131,Zackary Bowman,NYG,30,12,5,,2,25,0,18,6,0,0,1,6,0,16,4,
132,Josh Boyd,GNB,25,11,2,,0,0,0,0,1,,,,,,8,7,
133,Brandon Boykin,PHI,24,12,0,,1,0,0,0,6,1,0,0,0,0,29,4,
134,Jarrett Boykin,GNB,25,9,3,,,,,,,2,0,0,0,0,3,1,
135,Brett Brackett,2TM,27,6,2,,,,,,,,,,,,1,0,
136,Nigel Bradham,BUF,25,10,10,2.5,1,0,0,0,5,2,0,0,0,0,56,29,
137,Ahmad Bradshaw,IND,28,10,1,,,,,,,0,3,3,12,0,1,0,
138,Tom Brady,NWE,37,12,12,,,,,,,0,6,1,-4,0,1,0,
139,Bryan Braman,PHI,27,12,0,,,,,,,,,,,,5,0,
140,Alan Branch,NWE,30,4,0,,0,0,0,0,1,,,,,,4,2,
141,Andre Branch,JAX,25,8,0,3.0,0,0,0,0,2,2,0,1,0,0,11,3,
142,Tyvon Branch,OAK,28,3,3,1.0,0,0,0,0,1,,,,,,23,6,
143,Bashaud Breeland,WAS,22,12,11,,1,0,0,0,8,2,0,0,0,0,38,7,
144,Drew Brees,NOR,35,12,12,,,,,,,0,4,3,-18,0,,,
145,Josh Brent,DAL,26,1,0,,,,,,,,,,,,1,1,
146,Aaron Brewer,DEN,24,12,0,,,,,,,,,,,,2,0,
147,Teddy Bridgewater,MIN,22,9,8,,,,,,,0,2,1,0,0,,,
148,Lance Briggs,CHI,34,8,8,,1,2,0,2,3,1,0,0,0,0,24,11,
149,Beau Brinkley,TEN,24,12,0,,,,,,,,,,,,2,1,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
150,Jasper Brinkley,MIN,29,12,9,1.0,,,,,,1,0,0,0,0,40,16,
151,Tramaine Brock,SFO,26,3,2,,,,,,,,,,,,7,0,
152,Richie Brockel,CAR,28,4,0,,,,,,,,,,,,3,0,
153,Michael Brockers,STL,24,12,12,2.0,0,0,0,0,1,0,0,1,0,0,20,3,
154,Jay Bromley,NYG,22,4,0,,,,,,,,,,,,2,2,
155,Ahmad Brooks,SFO,30,12,12,5.0,0,0,0,0,3,1,0,1,0,0,22,5,
156,Ron Brooks,BUF,26,10,0,,,,,,,,,,,,12,2,
157,Terrence Brooks,BAL,23,10,0,,0,0,0,0,2,0,0,1,0,0,16,3,
158,Antonio Brown,PIT,26,12,12,,,,,,,0,2,0,0,0,1,0,
159,Chykie Brown,2TM,28,11,1,,0,0,0,0,1,,,,,,16,4,
160,Donald Brown,SDG,27,9,3,,,,,,,,,,,,3,0,
161,Everette Brown,WAS,27,5,0,,,,,,,,,,,,6,2,
162,Jaron Brown,ARI,24,12,2,,,,,,,0,1,0,0,0,7,0,
163,Josh Brown,NYG,35,12,0,,,,,,,0,0,1,-4,0,2,0,
164,Marlon Brown,BAL,23,10,0,,,,,,,,,,,,2,0,
165,Philly Brown,CAR,23,9,1,,,,,,,0,3,1,0,0,1,0,
166,Preston Brown,BUF,22,12,10,,1,0,0,0,2,0,0,1,30,0,58,32,
167,Sergio Brown,IND,26,11,7,1.0,0,0,0,0,4,0,0,1,26,0,20,8,
168,Stevie Brown,NYG,27,12,4,1.0,0,0,0,0,1,,,,,,21,6,
169,Tarell Brown,OAK,29,12,12,,0,0,0,0,3,,,,,,45,8,
170,Brandon Browner,NWE,30,6,6,,1,30,0,30,5,,,,,,9,3,
171,David Bruton,DEN,27,10,0,,,,,,,,,,,,3,1,
172,Armonty Bryant,CLE,24,5,2,1.0,,,,,,,,,,,5,6,
173,Corbin Bryant,BUF,26,12,0,1.5,0,0,0,0,1,1,0,0,0,0,5,4,
174,Desmond Bryant,CLE,29,11,11,4.0,0,0,0,0,1,0,0,1,0,0,21,21,
175,Dez Bryant,DAL,26,13,13,,,,,,,,,,,,1,0,
176,Red Bryant,JAX,30,12,12,1.0,,,,,,1,0,0,0,0,12,5,
177,Deone Bucannon,ARI,22,12,8,2.0,0,0,0,0,2,0,0,1,0,0,50,12,
178,Michael Buchanan,NWE,23,3,0,,,,,,,,,,,,0,2,
179,Bryan Bulaga,GNB,25,11,11,,,,,,,0,0,1,0,0,,,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
180,Randy Bullock,HOU,25,12,0,,,,,,,,,,,,1,0,
181,Max Bullough,HOU,22,1,0,,,,,,,,,,,,1,0,
182,Brodrick Bunkley,NOR,31,11,11,,,,,,,,,,,,8,9,
183,Vontaze Burfict,CIN,24,5,5,,0,0,0,0,2,1,0,1,0,0,15,14,
184,Rex Burkhead,CIN,23,5,0,,,,,,,,,,,,1,1,
185,Marcus Burley,SEA,24,10,0,,1,24,0,24,5,,,,,,21,10,
186,Morgan Burnett,GNB,25,11,11,1.0,0,0,0,0,2,1,0,0,0,0,69,23,
187,Miles Burris,OAK,26,12,12,,0,0,0,0,1,,,,,,58,26,
188,Isaiah Burse,DEN,23,12,0,,,,,,,0,3,1,0,0,,,
189,Trey Burton,PHI,23,12,0,,,,,,,,,,,,4,0,
190,Jarrett Bush,GNB,30,11,0,,0,0,0,0,1,,,,,,11,3,
191,Josh Bush,2TM,25,4,0,,,,,,,,,,,,1,0,
192,Rafael Bush,NOR,27,10,7,,0,0,0,0,3,,,,,,44,11,
193,Jermon Bushrod,CHI,30,11,11,,,,,,,,,,,,2,0,
194,Brice Butler,OAK,24,11,0,,,,,,,,,,,,1,0,
195,Crezdon Butler,TAM,27,9,3,,0,0,0,0,1,,,,,,14,0,
196,Darius Butler,IND,28,10,2,,0,0,0,0,7,1,0,1,7,0,32,4,
197,Donald Butler,SDG,26,12,12,1.0,0,0,0,0,2,0,0,3,0,0,44,23,
198,Drew Butler,ARI,25,11,0,,,,,,,,,,,,1,0,
199,Malcolm Butler,NWE,24,7,0,,0,0,0,0,4,,,,,,8,0,
200,Victor Butler,2TM,27,2,0,,,,,,,,,,,,1,1,
201,Josh Bynes,DET,25,9,0,,1,17,0,17,1,0,0,1,0,0,12,4,
202,Jairus Byrd,NOR,28,4,4,,0,0,0,0,2,1,0,0,0,0,17,5,
203,Travaris Cadet,NOR,25,12,1,,,,,,,0,2,0,0,0,3,0,
204,Jeremy Cain,CHI,34,13,0,,,,,,,,,,,,1,1,
205,Andre Caldwell,DEN,29,12,2,,,,,,,0,0,2,0,0,0,1,
206,Calais Campbell,ARI,28,10,10,6.0,1,23,0,23,1,1,0,0,0,0,34,8,
207,Chris Canty,BAL,32,8,8,0.5,0,0,0,0,2,1,0,0,0,0,8,14,
208,Tank Carder,CLE,25,12,0,,,,,,,,,,,,3,3,1
209,Don Carey,DET,27,9,2,,,,,,,0,0,1,40,1,6,1,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
210,Ka'Deem Carey,CHI,22,13,0,,,,,,,0,0,1,0,0,0,1,
211,Gabe Carimi,ATL,26,12,6,,,,,,,,,,,,1,0,
212,Brandon Carr,DAL,28,13,13,1.0,0,0,0,0,6,0,0,1,0,0,36,7,
213,Derek Carr,OAK,23,12,12,,,,,,,0,6,3,-2,0,,,
214,Tank Carradine,SFO,25,4,4,,,,,,,,,,,,9,1,
215,Ryan Carrethers,SDG,23,6,1,,,,,,,,,,,,12,0,
216,Travis Carrie,OAK,24,10,3,,1,28,0,28,6,1,2,2,0,0,23,7,
217,Derek Carrier,SFO,24,11,1,,,,,,,0,1,1,0,0,3,0,
218,Alex Carrington,STL,27,8,0,,,,,,,,,,,,1,0,
219,Nolan Carroll,PHI,27,12,0,,0,0,0,0,2,,,,,,22,0,
220,Glenn Carson,ARI,24,1,0,,,,,,,,,,,,0,1,
221,Bruce Carter,DAL,26,10,7,1.0,2,25,1,25,5,,,,,,33,14,
222,Quinton Carter,DEN,26,11,0,1.0,0,0,0,0,1,1,0,0,0,0,17,4,
223,Tony Carter,DEN,28,5,0,,0,0,0,0,1,,,,,,4,0,
224,James Casey,PHI,30,12,2,,,,,,,,,,,,5,2,
225,Jurrell Casey,TEN,25,12,12,5.0,,,,,,,,,,,37,18,
226,Jonathan Casillas,2TM,27,9,3,,,,,,,,,,,,15,5,
227,Antoine Cason,CAR,28,12,11,,2,81,0,80,6,4,0,2,0,0,44,14,
228,Matt Cassel,MIN,32,3,3,,,,,,,0,3,2,-29,0,,,
229,Anthony Castonzo,IND,26,12,12,,,,,,,,,,,,1,0,
230,Brent Celek,PHI,29,12,11,,,,,,,,,,,,1,0,
231,Kam Chancellor,SEA,26,10,10,,1,52,0,52,3,1,0,0,0,0,51,14,
232,Nate Chandler,CAR,25,11,11,,,,,,,,,,,,2,0,
233,Scott Chandler,BUF,29,12,4,,,,,,,,,,,,2,0,
234,Jamar Chaney,OAK,28,8,0,,,,,,,,,,,,4,0,
235,Josh Chapman,IND,25,12,11,,,,,,,1,0,0,0,0,11,2,
236,Jamaal Charles,KAN,28,11,11,,,,,,,0,4,1,0,0,2,0,
237,Stefan Charles,BUF,26,12,1,2.0,,,,,,0,0,1,0,0,8,7,
238,Chimdi Chekwa,OAK,26,8,2,,0,0,0,0,1,,,,,,12,1,
239,Gosder Cherilus,IND,30,11,11,,,,,,,,,,,,1,0,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
240,Chris Chester,WAS,31,12,12,,,,,,,0,0,1,0,0,,,
241,Patrick Chung,NWE,27,12,12,,0,0,0,0,5,,,,,,43,22,
242,Barry Church,DAL,26,13,13,,2,49,0,45,6,1,0,1,-1,0,63,15,
243,Ryan Clady,DEN,28,12,12,,,,,,,,,,,,1,0,
244,Morris Claiborne,DAL,24,4,3,,1,-8,0,-8,2,,,,,,5,2,
245,Ryan Clark,WAS,35,12,11,0.5,1,8,0,8,2,0,1,2,0,0,41,22,
246,Will Clarke,CIN,23,4,0,,,,,,,0,0,1,0,0,2,0,
247,Charles Clay,MIA,25,10,10,,,,,,,0,0,1,0,0,,,
248,Adrian Clayborn,TAM,26,1,1,,,,,,,,,,,,1,0,
249,Chris Clemons,JAX,33,12,12,7.0,0,0,0,0,2,3,0,1,0,0,24,8,
250,Ha Ha Clinton-Dix,GNB,22,12,6,1.0,1,9,0,9,6,0,0,1,0,0,52,18,
251,Jadeveon Clowney,HOU,21,4,2,,,,,,,,,,,,5,2,
252,Tyler Clutts,DAL,30,13,1,,,,,,,,,,,,1,0,
253,Ross Cockrell,BUF,23,4,0,,,,,,,,,,,,1,0,
254,Barry Cofield,WAS,30,4,3,1.0,,,,,,,,,,,4,1,
255,Audie Cole,MIN,25,12,0,,,,,,,,,,,,7,1,
256,Colin Cole,CAR,34,12,9,,,,,,,,,,,,9,14,
257,Trent Cole,PHI,32,12,12,6.5,,,,,,3,0,0,0,0,28,9,
258,Davon Coleman,DAL,23,2,1,,,,,,,,,,,,3,0,
259,Derrick Coleman,SEA,24,5,1,,,,,,,,,,,,0,1,
260,Kurt Coleman,KAN,26,11,2,,1,12,0,12,3,1,0,1,0,0,25,3,
261,Daryn Colledge,MIA,33,9,9,,,,,,,,,,,,2,0,
262,Jamie Collins,NWE,24,11,11,1.0,1,0,0,0,2,3,1,1,3,0,55,31,
263,Jed Collins,DET,28,12,2,,,,,,,0,0,1,0,0,6,0,
264,Willie Colon,NYJ,31,12,12,,,,,,,,,,,,2,0,
265,Britton Colquitt,DEN,29,12,0,,,,,,,0,1,1,0,0,,,
266,Dustin Colquitt,KAN,32,12,0,,,,,,,,,,,,1,0,
267,Aaron Colvin,JAX,23,2,0,,0,0,0,0,1,0,0,1,41,1,4,1,
268,Tom Compton,WAS,25,12,5,,,,,,,,,,,,2,2,
269,William Compton,WAS,25,12,2,,,,,,,,,,,,11,5,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
270,Jon Condo,OAK,33,12,0,,,,,,,0,0,1,0,0,0,2,
271,Kavell Conner,SDG,27,12,4,1.0,0,0,0,0,1,1,0,0,0,0,30,18,
272,Daniel Connolly,NWE,32,11,11,,,,,,,0,0,1,0,0,,,
273,Chris Conte,CHI,25,12,11,,3,6,0,5,3,,,,,,32,11,
274,Chris Cook,SFO,27,6,0,,0,0,0,0,1,,,,,,6,0,
275,Jared Cook,STL,27,12,6,,,,,,,,,,,,1,0,
276,Brandin Cooks,NOR,21,10,7,,,,,,,0,1,0,0,0,2,0,
277,Marcus Cooper,KAN,24,11,4,,0,0,0,0,3,0,1,0,0,0,18,0,
278,Riley Cooper,PHI,27,12,12,,,,,,,0,1,0,0,0,3,0,
279,Quinton Coples,NYJ,24,12,11,3.0,,,,,,1,0,0,0,0,16,8,
280,Jerricho Cotchery,CAR,32,11,11,,,,,,,,,,,,2,0,
281,Jerome Couplin,2TM,23,9,0,,,,,,,,,,,,2,0,
282,Fletcher Cox,PHI,24,12,12,3.0,,,,,,1,0,2,21,1,31,7,
283,Perrish Cox,SFO,27,12,11,,4,12,0,10,13,0,1,2,0,0,38,2,
284,Brock Coyle,SEA,24,11,2,,,,,,,,,,,,6,3,
285,Jack Crawford,DAL,26,6,0,2.0,,,,,,1,0,0,0,0,6,2,
286,Tyrone Crawford,DAL,25,12,12,1.0,0,0,0,0,1,1,0,0,0,0,17,9,
287,Josh Cribbs,IND,31,2,0,,,,,,,,,,,,1,0,
288,Scott Crichton,MIN,23,5,0,,,,,,,,,,,,1,0,
289,Jared Crick,HOU,25,12,11,1.5,0,0,0,0,3,,,,,,22,23,
290,Antonio Cromartie,ARI,30,12,12,,3,65,0,40,10,0,0,1,14,1,30,2,
291,Mason Crosby,GNB,30,12,0,,,,,,,,,,,,1,0,
292,Isaiah Crowell,CLE,21,12,3,,,,,,,0,3,2,0,0,,,
293,Chris Culliver,SFO,26,11,11,,2,30,0,29,9,1,0,1,35,1,31,7,
294,Jeff Cumberland,NYJ,27,12,10,,,,,,,0,0,1,0,0,1,0,
295,Benny Cunningham,STL,24,12,2,,,,,,,0,0,1,0,0,4,0,
296,Vinny Curry,PHI,26,12,0,7.0,,,,,,3,0,1,0,0,13,2,
297,Brian Cushing,HOU,27,10,10,1.0,0,0,0,0,2,1,0,0,0,0,38,27,
298,Jay Cutler,CHI,31,13,13,,,,,,,0,11,3,-29,0,1,0,
299,Jonathan Cyprien,JAX,24,11,11,,0,0,0,0,1,,,,,,61,21,
