
Rk,Player,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Pierre Garcon,WAS,27,16,16,181,113,1346,11.9,5,53,7.1,84.1,1
2,Antonio Brown*,PIT,25,16,14,167,110,1499,13.6,8,56,6.9,93.7,1
3,Andre Johnson*,HOU,32,16,16,181,109,1407,12.9,5,62,6.8,87.9,0
4,Julian Edelman,NWE,27,16,11,151,105,1056,10.1,6,44,6.6,66.0,6
5,Brandon Marshall*,CHI,29,16,16,164,100,1295,13.0,12,44,6.3,80.9,0
6,A.J. Green*,CIN,25,16,16,178,98,1426,14.6,11,82,6.1,89.1,1
7,Kendall Wright,TEN,24,16,12,139,94,1079,11.5,2,45,5.9,67.4,2
8,Dez Bryant*,DAL,25,16,16,159,93,1233,13.3,13,79,5.8,77.1,3
9,Demaryius Thomas*,DEN,26,16,16,142,92,1430,15.5,14,78,5.8,89.4,2
10,Alshon Jeffery*,CHI,23,16,14,148,89,1421,16.0,7,80,5.6,88.8,3
11,Eric Decker,DEN,26,16,16,136,87,1288,14.8,11,61,5.4,80.5,2
12,Josh Gordon*+,CLE,22,14,14,159,87,1646,18.9,9,95,6.2,117.6,0
13,Jimmy Graham*+,NOR,27,16,12,142,86,1215,14.1,16,56,5.4,75.9,0
14,Anquan Boldin,SFO,33,16,16,129,85,1179,13.9,7,63,5.3,73.7,0
15,Harry Douglas,ATL,29,16,11,132,85,1067,12.6,2,80,5.3,66.7,3
16,Jordy Nelson,GNB,28,16,16,127,85,1314,15.5,8,76,5.3,82.1,0
17,Calvin Johnson*+,DET,28,14,14,156,84,1492,17.8,12,87,6.0,106.6,1
18,Tony Gonzalez*,ATL,37,16,16,121,83,859,10.3,8,25,5.2,53.7,0
19,Larry Fitzgerald*,ARI,30,16,16,135,82,954,11.6,10,75,5.1,59.6,1
20,T.Y. Hilton,IND,24,16,10,139,82,1083,13.2,5,73,5.1,67.7,1
21,DeSean Jackson*,PHI,27,16,16,126,82,1332,16.2,9,61,5.1,83.3,1
22,Jordan Cameron*,CLE,25,15,14,118,80,917,11.5,7,53,5.3,61.1,1
23,Vincent Jackson,TAM,30,16,16,160,78,1224,15.7,7,60,4.9,76.5,1
24,Antonio Gates,SDG,33,16,15,114,77,872,11.3,4,56,4.8,54.5,2
25,Pierre Thomas,NOR,29,16,9,84,77,513,6.7,3,29,4.8,32.1,2
26,Brian Hartline,MIA,27,16,15,133,76,1016,13.4,4,50,4.8,63.5,0
27,Danny Woodhead,SDG,28,16,2,88,76,605,8.0,6,39,4.8,37.8,2
28,Marques Colston,NOR,30,15,11,111,75,943,12.6,5,35,5.0,62.9,0
29,Matt Forte*,CHI,28,16,16,95,74,594,8.0,3,34,4.6,37.1,2
30,Victor Cruz,NYG,27,14,12,122,73,998,13.7,4,70,5.2,71.3,1
31,Greg Olsen,CAR,28,16,16,111,73,816,11.2,6,31,4.6,51.0,0
32,Mike Wallace,MIA,27,16,16,141,73,930,12.7,5,57,4.6,58.1,0
33,Wes Welker,DEN,32,13,13,111,73,778,10.7,10,33,5.6,59.8,1
34,Jason Witten*,DAL,31,16,16,111,73,851,11.7,8,34,4.6,53.2,0
35,Keenan Allen,SDG,21,15,14,105,71,1046,14.7,8,43,4.7,69.7,2
36,Darren Sproles,NOR,30,15,4,89,71,604,8.5,2,48,4.7,40.3,2
37,Jamaal Charles*+,KAN,27,15,15,104,70,693,9.9,7,71,4.7,46.2,4
38,Charles Clay,MIA,24,16,15,102,69,759,11.0,6,67,4.3,47.4,0
39,Greg Jennings,MIN,30,15,15,106,68,804,11.8,4,70,4.5,53.6,0
40,Emmanuel Sanders,PIT,26,16,10,113,67,740,11.0,6,55,4.2,46.3,1
41,Cecil Shorts,JAX,26,13,13,123,66,777,11.8,3,59,5.1,59.8,0
42,Martellus Bennett,CHI,26,16,15,94,65,759,11.7,5,43,4.1,47.4,1
43,Michael Floyd,ARI,24,16,16,113,65,1041,16.0,5,91,4.1,65.1,0
44,Torrey Smith,BAL,24,16,16,137,65,1128,17.4,4,74,4.1,70.5,1
45,Julius Thomas*,DEN,25,14,14,90,65,788,12.1,12,74,4.6,56.3,1
46,Steve Smith,CAR,34,15,15,110,64,745,11.6,4,44,4.3,49.7,0
47,Golden Tate,SEA,25,16,13,99,64,898,14.0,5,80,4.0,56.1,3
48,Roddy White,ATL,32,13,13,97,63,711,11.3,3,39,4.8,54.7,2
49,Knowshon Moreno,DEN,26,16,15,74,60,548,9.1,3,35,3.8,34.3,2
50,Rod Streater,OAK,25,16,14,100,60,888,14.8,4,66,3.8,55.5,1
51,Delanie Walker,TEN,29,15,11,86,60,571,9.5,6,33,4.0,38.1,1
52,James Jones,GNB,29,14,14,93,59,817,13.8,3,83,4.2,58.4,2
53,Heath Miller,PIT,31,14,14,79,58,593,10.2,1,31,4.1,42.4,1
54,Ray Rice,BAL,26,15,15,72,58,321,5.5,0,22,3.9,21.4,2
55,Nate Washington,TEN,30,16,15,105,58,919,15.8,3,77,3.6,57.4,0
56,Dwayne Bowe,KAN,29,15,15,103,57,673,11.8,5,34,3.8,44.9,0
57,Giovani Bernard,CIN,22,16,0,71,56,514,9.2,3,41,3.5,32.1,2
58,Hakeem Nicks,NYG,25,15,15,101,56,896,16.0,0,57,3.7,59.7,0
59,Danny Amendola,NWE,28,12,6,83,54,633,11.7,2,57,4.5,52.8,0
60,Reggie Bush,DET,28,14,14,80,54,506,9.4,3,77,3.9,36.1,5
61,Tim Wright,TAM,23,16,8,76,54,571,10.6,5,36,3.4,35.7,0
62,Joique Bell,DET,27,16,4,69,53,547,10.3,0,37,3.3,34.2,4
63,Scott Chandler,BUF,28,16,7,81,53,655,12.4,2,33,3.3,40.9,1
64,Dexter McCluster*,KAN,24,15,6,83,53,511,9.6,2,43,3.5,34.1,2
65,DeMarco Murray*,DAL,25,14,14,66,53,350,6.6,1,22,3.8,25.0,3
66,Vernon Davis*,SFO,29,15,15,84,52,850,16.3,13,64,3.5,56.7,1
67,Coby Fleener,IND,25,16,12,87,52,608,11.7,4,44,3.3,38.0,1
