
Rk,Player,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Calvin Johnson*+,DET,27,16,16,204,122,1964,16.1,5,53,7.6,122.8,3
2,Brandon Marshall*+,CHI,28,16,16,192,118,1508,12.8,11,56,7.4,94.3,2
3,Wes Welker*,NWE,31,16,12,174,118,1354,11.5,6,59,7.4,84.6,3
4,Andre Johnson*,HOU,31,16,16,162,112,1598,14.3,4,60,7.0,99.9,0
5,Jason Witten*,DAL,30,16,16,147,110,1039,9.4,3,36,6.9,64.9,0
6,Reggie Wayne*,IND,34,16,15,195,106,1355,12.8,5,33,6.6,84.7,1
7,A.J. Green*,CIN,24,16,16,164,97,1350,13.9,11,73,6.1,84.4,2
8,Demaryius Thomas*,DEN,25,16,16,143,94,1434,15.3,10,71,5.9,89.6,3
9,Tony Gonzalez*+,ATL,36,16,16,124,93,930,10.0,8,25,5.8,58.1,0
10,Dez Bryant,DAL,24,16,14,138,92,1382,15.0,12,85,5.8,86.4,5
11,Roddy White,ATL,31,16,15,142,92,1351,14.7,7,59,5.8,84.4,1
12,Victor Cruz*,NYG,26,16,16,143,86,1092,12.7,10,80,5.4,68.3,0
13,Michael Crabtree,SFO,25,16,16,127,85,1105,13.0,9,49,5.3,69.1,0
14,Eric Decker,DEN,25,16,15,122,85,1064,12.5,13,55,5.3,66.5,0
15,Jimmy Graham,NOR,26,15,9,135,85,982,11.6,9,46,5.7,65.5,1
16,Marques Colston,NOR,29,16,13,130,83,1154,13.9,10,60,5.2,72.1,4
17,Randall Cobb,GNB,22,15,8,104,80,954,11.9,8,39,5.3,63.6,4
18,Steve Johnson,BUF,26,16,16,148,79,1046,13.2,6,63,4.9,65.4,1
19,Julio Jones*,ATL,23,16,15,128,79,1198,15.2,10,80,4.9,74.9,0
20,Brandon Myers,OAK,27,16,16,105,79,806,10.2,4,29,4.9,50.4,0
21,Darren Sproles,NOR,29,13,6,104,75,667,8.9,7,44,5.8,51.3,0
22,Brian Hartline,MIA,26,16,15,131,74,1083,14.6,1,80,4.6,67.7,1
23,Brandon Lloyd,NWE,31,16,15,131,74,911,12.3,4,53,4.6,56.9,0
24,Steve Smith,CAR,33,16,16,138,73,1174,16.1,4,66,4.6,73.4,1
25,Vincent Jackson*,TAM,29,16,16,147,72,1384,19.2,8,95,4.5,86.5,0
26,Larry Fitzgerald*,ARI,29,16,16,156,71,798,11.2,4,37,4.4,49.9,0
27,Heath Miller*,PIT,30,15,15,101,71,816,11.5,8,43,4.7,54.4,0
28,Jeremy Maclin,PHI,24,15,15,122,69,857,12.4,7,70,4.6,57.1,1
29,Greg Olsen,CAR,27,16,16,104,69,843,12.2,5,47,4.3,52.7,0
30,Miles Austin,DAL,28,16,15,119,66,943,14.3,6,49,4.1,58.9,1
31,Antonio Brown,PIT,24,13,10,106,66,787,11.9,5,60,5.1,60.5,4
32,Anquan Boldin,BAL,32,15,15,112,65,921,14.2,4,43,4.3,61.4,0
33,Lance Moore,NOR,29,15,7,104,65,1041,16.0,6,51,4.3,69.4,0
34,Justin Blackmon,JAX,22,16,14,132,64,865,13.5,5,81,4.0,54.1,1
35,Jermaine Gresham*,CIN,24,16,15,94,64,737,11.5,5,55,4.0,46.1,2
36,James Jones,GNB,28,16,16,98,64,784,12.3,14,49,4.0,49.0,0
37,Andre Roberts,ARI,24,15,15,114,64,759,11.9,5,46,4.3,50.6,1
38,Mike Wallace,PIT,26,15,14,119,64,836,13.1,8,82,4.3,55.7,2
39,Kendall Wright,TEN,23,15,5,104,64,626,9.8,4,38,4.3,41.7,1
40,Danny Amendola,STL,27,11,8,101,63,666,10.6,3,56,5.7,60.5,3
41,Mike Williams,TAM,25,16,16,126,63,996,15.8,9,65,3.9,62.3,0
42,Owen Daniels*,HOU,30,15,14,104,62,716,11.5,6,39,4.1,47.7,0
43,Percy Harvin,MIN,24,9,8,85,62,677,10.9,3,45,6.9,75.2,2
44,Davone Bess,MIA,27,13,13,104,61,778,12.8,1,39,4.7,59.8,1
45,Jermichael Finley,GNB,25,16,14,87,61,667,10.9,2,40,3.8,41.7,1
46,Dennis Pitta,BAL,27,16,5,94,61,669,11.0,7,61,3.8,41.8,0
47,Ray Rice*,BAL,25,16,16,83,61,478,7.8,1,43,3.8,29.9,1
48,Donnie Avery,IND,28,16,15,124,60,781,13.0,3,48,3.8,48.8,1
49,Dwayne Bowe,KAN,28,13,12,114,59,801,13.6,3,47,4.5,61.6,1
50,Brandon Pettigrew,DET,27,14,11,102,59,567,9.6,3,24,4.2,40.5,4
51,Brent Celek,PHI,27,15,14,88,57,684,12.0,1,34,3.8,45.6,1
52,Malcom Floyd,SDG,31,14,14,85,56,814,14.5,5,39,4.0,58.1,0
53,Jeremy Kerley,NYJ,24,16,7,95,56,827,14.8,2,66,3.5,51.7,4
54,Martellus Bennett,NYG,25,16,16,89,55,626,11.4,5,33,3.4,39.1,0
55,Rob Gronkowski*,NWE,23,11,11,79,55,790,14.4,11,41,5.0,71.8,1
56,Cecil Shorts,JAX,25,14,9,105,55,979,17.8,7,80,3.9,69.9,1
57,LeSean McCoy,PHI,24,12,12,67,54,373,6.9,3,36,4.5,31.1,4
